,Type,Brand,Model,Type_consumption,Consumption,Label,Other
0,Water heaters, Rossato , AIR COMBO EVO 300 ,Consumo anual de electricidad, 1 361,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1,Water heaters, Rossato , AIR COMBO EVO 200S ,Consumo anual de electricidad, 890,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2,Water heaters, Rossato , AIR COMBO EVO 200 ,Consumo anual de electricidad, 890,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
3,Water heaters, Rossato , AIR COMBO EVO 300S ,Consumo anual de electricidad, 1 361,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
59,Water heaters, FONDITAL S.p.A. , WHPS PDC 300 SS + (DHPBVPDC02) ,Consumo anual de electricidad, 1 423,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
63,Water heaters, Nilan A/S , Compact P2 ,Consumo anual de electricidad, 1 326,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
64,Water heaters, ELÍZ , EWHP 200 EW ,Consumo anual de electricidad, 706,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
65,Water heaters, ELÍZ , EWHP 300 EW ,Consumo anual de electricidad, 1 166,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
75,Water heaters, Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00549 WPV 200 2G ",Consumo anual de electricidad, 1 168,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
76,Water heaters, Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00590 WPV 270 2G ",Consumo anual de electricidad, 1 205,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
77,Water heaters, Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00548 WPV 150 2G ",Consumo anual de electricidad, 1 141,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
102,Water heaters, Tiki , TC120Z - DHW 120 ,Consumo anual de electricidad, 459,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
103,Water heaters, Tiki , TC200ZGNT -  DHW LT 200 ,Consumo anual de electricidad, 797,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
104,Water heaters, Tiki , TC201ZGNT-  DHW CLT 200  ,Consumo anual de electricidad, 806,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
105,Water heaters, Tiki , TC302ZGNT - DHW 2CLT 300  ,Consumo anual de electricidad, 1 247,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
106,Water heaters, Tiki , TC100Z -  DHW 100 ,Consumo anual de electricidad, 464,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
107,Water heaters, Tiki , TC301ZGNT - DHW CLT 300  ,Consumo anual de electricidad, 1 246,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
108,Water heaters, Tiki , TC120ZNT - DHW LT 120 ,Consumo anual de electricidad, 459,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
109,Water heaters, Tiki , TC80Z - DHW 80 ,Consumo anual de electricidad, 461,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
110,Water heaters, Ekallor , BC 300 ,Consumo anual de electricidad, 1 423,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
111,Water heaters, Ekallor , BC 200 ,Consumo anual de electricidad, 901,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
