Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
aerotermia,33100,53,0.33,1.00,4350000,"Informational, Transactional","Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.36,0.44,0.66,0.81,0.66,0.81,0.66,1.00,0.54,0.54,0.54,0.66"
aerotermia precio,5400,30,0.44,1.00,2320000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.43,0.54,0.81,1.00,0.66,1.00,0.81,1.00,0.66,0.66,0.54,0.81"
que es la aerotermia,3600,47,0.17,0.65,4420000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.44,0.53,0.66,1.00,0.66,0.81,0.66,0.81,0.53,0.66,0.35,0.66"
aerotermia como funciona,2900,45,0.18,0.61,216000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.29,0.36,0.65,1.00,0.54,0.81,0.65,1.00,0.65,0.43,0.54,1.00"
aerotermia con radiadores,2900,24,0.39,1.00,2110000,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.18,0.29,0.53,0.81,0.53,0.66,0.66,1.00,0.53,0.44,0.53,0.81"
aerotermia precios,2900,32,0.44,1.00,2040000,Transactional,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.43,0.54,0.81,1.00,0.65,1.00,0.81,1.00,0.43,0.54,0.54,0.81"
aerotermia que es,2900,44,0.17,0.65,3860000,Informational,"Reviews, Site links, FAQ, People also ask, Video carousel, Knowledge panel","0.43,0.54,0.65,1.00,0.65,0.81,0.65,0.81,0.54,0.54,0.54,0.54"
aerotermia suelo radiante,1900,16,0.41,1.00,1500000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.44,0.55,0.65,0.82,0.82,1.00,0.65,0.82,0.65,0.55,0.44,0.55"
bomba de calor aerotermia,1900,30,0.30,1.00,734000,"Informational, Transactional","Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.30,0.44,0.55,1.00,0.65,0.82,0.65,0.82,0.55,0.55,0.55,0.65"
calefaccion aerotermia,1900,42,0.31,1.00,287000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.34,0.44,0.82,1.00,0.82,0.82,0.65,0.82,0.65,0.34,0.34,0.44"
aerotermia daikin,1600,24,0.37,1.00,77,"Navigational, Transactional","Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.41,0.54,0.79,1.00,0.66,0.79,0.66,0.79,0.54,0.54,0.54,0.66"
aerotermia opiniones,1600,24,0.27,0.92,1110000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.36,0.66,0.79,0.54,0.79,0.66,1.00,0.66,0.79,0.66,0.79"
aerotermia opiniones 2021,1600,18,0.25,0.55,1030000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.30,0.44,0.82,1.00,0.65,0.82,0.55,0.55,0.34,0.05,0.11,0.02"
como funciona la aerotermia,1600,44,0.18,0.61,225000,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask, Image pack, Video carousel","0.30,0.41,0.66,1.00,0.54,0.79,0.66,1.00,1.00,1.00,0.79,1.00"
precio aerotermia,1600,28,0.44,1.00,2540000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.27,0.36,0.52,0.66,0.44,0.66,0.52,0.66,0.44,0.27,0.44,1.00"
