Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
eficiencia energetica,6600,61,0.41,0.18,6160000,"Informational, Commercial","Featured snippet, Local pack, Reviews, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.66,0.81,0.81,1.00,0.66,0.81,0.81,1.00,0.66,0.66,0.54,0.54"
eficiencia energética,2900,68,0.41,0.18,27900000,Informational,"Featured snippet, Reviews, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.66,0.80,0.80,1.00,0.66,0.80,0.80,1.00,0.80,0.80,1.00,0.52"
certificado de eficiencia energetica,2400,53,0.71,0.54,365000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.52,0.66,0.66,0.66,0.44,0.52,0.52,0.66,0.66,0.80,1.00,0.52"
certificado eficiencia energetica,2400,54,0.74,0.56,375000,"Informational, Commercial","Reviews, Site links, FAQ, People also ask, Image pack","0.55,0.65,0.65,0.65,0.55,0.65,0.65,0.82,1.00,1.00,1.00,0.82"
certificado de eficiencia energética,1600,53,0.71,0.54,5170000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Adwords top","0.84,1.00,1.00,1.00,0.68,0.84,0.84,1.00,0.84,0.84,1.00,0.68"
certificado eficiencia energética,1600,52,0.74,0.56,5570000,"Informational, Commercial","Reviews, Site links, FAQ, People also ask, Image pack","0.52,0.68,0.68,0.68,0.52,0.68,0.68,0.84,0.84,1.00,0.84,0.68"
eficiencia energetica a b c d e f g,1300,49,0.00,0.00,88,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask, Image pack","0.66,0.79,0.24,0.54,0.20,0.41,0.20,1.00,0.79,0.79,0.79,1.00"
eficiencia energetica electrodomesticos,1300,38,0.11,0.59,106000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.84,0.84,0.68,0.84,0.37,0.68,0.37,0.68,0.52,0.52,0.52,0.52"
registro de certificados de eficiencia energética del país vasco,1000,17,0.00,0.01,90400,"Informational, Transactional","Reviews, People also ask, Image pack","0.02,0.22,0.22,1.00,0.02,0.29,0.29,0.02,0.01,0.02,0.02,0.01"
ayudas eficiencia energética 2022,880,32,0.48,0.31,2680000,Informational,"Featured snippet, Video carousel","0.00,0.00,0.04,0.20,0.30,1.00,0.66,0.66,0.36,0.36,0.41,0.41"
eficiencia energetica frigorificos,590,35,0.20,1.00,40800,"Informational, Commercial","Reviews, FAQ, Image, People also ask, Image pack","1.00,1.00,0.81,1.00,0.54,0.66,0.54,0.81,0.54,0.66,0.66,1.00"
que es la eficiencia energetica,590,47,0.27,0.26,5730000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.36,0.54,0.54,0.67,0.54,0.67,0.81,1.00,0.67,0.81,0.67,0.36"
certificado de eficiencia energética precio,480,25,0.54,0.59,4900000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.66,1.00,0.81,1.00,0.66,1.00,0.81,1.00,1.00,1.00,0.81,0.81"
certificados de eficiencia energetica,480,58,0.71,0.54,209000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.66,0.81,0.81,0.81,0.54,0.66,0.66,0.81,0.66,0.66,1.00,0.54"
eficiencia energetica f,480,32,0.32,0.20,850000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.66,0.66,0.66,1.00,0.54,0.81,0.54,0.81,0.54,0.66,0.66,1.00"
eficiencia energética f,480,28,0.32,0.20,9020000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack","0.81,0.81,0.81,1.00,0.66,0.81,0.66,0.81,0.81,0.81,0.81,1.00"
etiqueta eficiencia energetica,480,49,0.30,0.07,192000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.44,0.54,0.67,0.81,0.44,0.54,0.54,1.00,0.44,0.54,0.44,0.36"
ayudas eficiencia energética 2021,390,42,0.00,0.00,1660000,Informational,"Featured snippet, Image pack","0.30,0.45,0.67,0.67,0.36,0.24,0.10,0.10,0.06,0.02,0.01,0.01"
certificados eficiencia energetica,390,58,0.74,0.56,224000,"Informational, Commercial","Featured snippet, Local pack, Reviews, Site links, FAQ, People also ask, Video carousel","0.54,0.66,0.66,0.66,0.54,0.66,0.66,0.81,0.54,1.00,0.66,0.54"
eficiencia energetica lavadoras,390,29,0.32,1.00,146000,Informational,"Reviews, Image, People also ask, Image pack","0.81,1.00,0.81,1.00,0.66,1.00,0.66,0.81,0.66,0.54,0.54,0.54"
eficiencia energética b,390,37,0.30,0.14,11600000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.01,0.01,1.00,0.79,0.01,0.03,0.03,0.01,0.00,0.01,0.01,0.01"
certificado de eficiencia energetica precio,320,25,0.54,0.59,8320000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask","0.66,1.00,0.82,1.00,0.66,1.00,0.82,1.00,1.00,0.82,1.00,0.82"
certificado eficiencia energetica madrid,320,25,1.49,0.68,90700,"Informational, Transactional","Reviews, People also ask, Video carousel","0.43,0.66,0.66,0.81,0.54,0.54,0.81,0.81,0.81,0.81,1.00,0.54"
clase de eficiencia energética,320,29,0.17,0.23,8000000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.54,0.81,0.66,1.00,0.54,0.81,0.54,0.66,0.43,0.66,0.66,0.54"
