Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
eficiencia,6600,55,0.22,0.00,237000000,Informational,"Site links, FAQ, Top stories, People also ask, Image pack, Video carousel","0.44,0.81,1.00,1.00,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.66"
eficiencia energetica,6600,61,0.41,0.18,6160000,"Informational, Commercial","Featured snippet, Local pack, Reviews, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.66,0.81,0.81,1.00,0.66,0.81,0.81,1.00,0.66,0.66,0.54,0.54"
eficiencia energética,2900,68,0.41,0.18,27900000,Informational,"Featured snippet, Reviews, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.66,0.80,0.80,1.00,0.66,0.80,0.80,1.00,0.80,0.80,1.00,0.52"
eficiencia y eficacia,2900,44,0.12,0.01,47400000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.36,0.81,1.00,1.00,0.81,1.00,0.81,1.00,0.65,0.65,0.54,0.22"
eficiente,2900,50,0.22,0.00,438000000,"Informational, Transactional","Reviews, Site links, Video, People also ask, Knowledge panel","0.36,0.65,0.81,0.81,0.65,0.65,0.65,0.81,0.81,1.00,0.65,0.54"
certificado de eficiencia energetica,2400,53,0.71,0.54,365000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack","0.52,0.66,0.66,0.66,0.44,0.52,0.52,0.66,0.66,0.80,1.00,0.52"
certificado eficiencia energetica,2400,54,0.74,0.56,375000,"Informational, Commercial","Reviews, Site links, FAQ, People also ask, Image pack","0.55,0.65,0.65,0.65,0.55,0.65,0.65,0.82,1.00,1.00,1.00,0.82"
diferencia eficacia eficiencia,2400,41,0.07,0.01,31100000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.36,0.80,1.00,1.00,0.66,0.80,0.66,0.80,0.80,0.05,0.05,0.44"
diferencia entre eficiencia y eficacia,2400,39,0.07,0.01,39000000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.36,0.80,1.00,1.00,0.66,0.80,0.66,0.80,0.52,0.24,0.52,0.10"
certificado de eficiencia energética,1600,53,0.71,0.54,5170000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Adwords top","0.84,1.00,1.00,1.00,0.68,0.84,0.84,1.00,0.84,0.84,1.00,0.68"
certificado eficiencia energética,1600,52,0.74,0.56,5570000,"Informational, Commercial","Reviews, Site links, FAQ, People also ask, Image pack","0.52,0.68,0.68,0.68,0.52,0.68,0.68,0.84,0.84,1.00,0.84,0.68"
eficacia y eficiencia,1600,41,0.00,0.00,37600000,Informational,"Featured snippet, Reviews, People also ask, Video carousel","0.24,0.54,1.00,0.79,0.54,0.66,0.79,0.66,0.66,1.00,0.66,0.79"
eficiencia energetica a b c d e f g,1300,49,0.00,0.00,88,Informational,"Featured snippet, Reviews, Site links, FAQ, Video, People also ask, Image pack","0.66,0.79,0.24,0.54,0.20,0.41,0.20,1.00,0.79,0.79,0.79,1.00"
eficiencia energetica electrodomesticos,1300,38,0.11,0.59,106000,Informational,"Reviews, FAQ, Image, People also ask, Image pack, Video carousel","0.84,0.84,0.68,0.84,0.37,0.68,0.37,0.68,0.52,0.52,0.52,0.52"
eficientes,1300,51,0.22,0.00,97100000,Informational,"Site links, People also ask, Knowledge panel","0.46,0.84,1.00,1.00,0.84,0.84,0.84,1.00,0.46,0.52,0.52,0.37"
cursos eficientes,1000,30,1.31,0.17,16800000,Navigational,"Reviews, Site links","0.66,0.54,0.41,0.41,0.30,0.30,0.30,0.41,0.30,0.24,0.41,0.41"
diferencia entre eficacia y eficiencia,1000,39,0.00,0.00,38300000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask","0.36,0.81,0.62,0.62,0.36,0.62,0.81,0.81,0.62,0.81,0.62,0.45"
eficaz y eficiente,1000,38,0.12,0.01,79800000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.30,0.76,1.00,1.00,0.76,1.00,0.76,1.00,1.00,0.76,0.67,0.55"
eficiente sinonimo,1000,33,0.00,0.00,190000,Informational,"Site links, Video, People also ask, Image pack","0.30,0.62,0.81,1.00,0.62,0.81,0.62,1.00,0.62,1.00,0.24,0.36"
registro de certificados de eficiencia energética del país vasco,1000,17,0.00,0.01,90400,"Informational, Transactional","Reviews, People also ask, Image pack","0.02,0.22,0.22,1.00,0.02,0.29,0.29,0.02,0.01,0.02,0.02,0.01"
