,Type,Brand,Model,Type_consumption,Consumption,Label,Other
0,Dishwasher, Iberna , IDIH 2L952-80 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
1,Dishwasher, Baumatic , BDIH 2L952-80 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
2,Dishwasher, Siemens , SN23HW00ME ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
3,Dishwasher, Bosch , SMS4HMI02E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
4,Dishwasher, Siemens , SN23HI00KE ,"Energy consumption [per 100 cycles, based on the eco programme]",0.84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,13
5,Dishwasher, Exquisit , GSP59309-030E weiss ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
6,Dishwasher, Exquisit , GSP59313-030E weiss ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
7,Dishwasher, Bosch , SBT8YC801E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14
8,Dishwasher, Bosch , SMT8YC801E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14
9,Dishwasher, HISENSE , HV662C60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14
10,Dishwasher, Candy , CF 3E7L0W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,13
11,Dishwasher, Candy , CI 3E6L0W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,13
12,Dishwasher, Hoover , HF 3E7L0W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,13
13,Dishwasher, Candy , CI 3E7L0W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,13
14,Dishwasher, Bosch , SGV25AX00E ,"Energy consumption [per 100 cycles, based on the eco programme]",1.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,12
16,Dishwasher, Candy , CF 3E9L0W-80 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,13
17,Dishwasher, HISENSE , HV673C61 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
18,Dishwasher, GORENJE , GS643D60X ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,16
19,Dishwasher, Bosch , SMS6ECC51E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13
20,Dishwasher, Bosch , SBV6ZCX09E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.75,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14
21,Dishwasher, Siemens , SN23HC60AE ,"Energy consumption [per 100 cycles, based on the eco programme]",0.84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,13
22,Dishwasher, GORENJE , GV693C61AD ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
23,Dishwasher, HISENSE , HV693C60AD ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
24,Dishwasher, GORENJE , GS693C60XUVAD ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
25,Dishwasher, GORENJE , GV642D62 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
26,Dishwasher, GORENJE , GV643D60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,16
27,Dishwasher, HISENSE , HV642D60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
28,Dishwasher, ASKO , DBI8347IB.S ,"Energy consumption [per 100 cycles, based on the eco programme]",0.72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13
29,Dishwasher, GORENJE , GV662D61 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
30,Dishwasher, HISENSE , HV663C60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
31,Dishwasher, GORENJE , GS673C60W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
32,Dishwasher, HISENSE , HV643D60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,16
33,Dishwasher, hanseatic , HGTI6082B14U7735ES ,"Energy consumption [per 100 cycles, based on the eco programme]",0.65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14
34,Dishwasher, GORENJE , GV693C60UVAD ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16
35,Dishwasher, GORENJE , GU672C60W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14
36,Dishwasher, hanseatic , HGVI6082B14U7713DB ,"Energy consumption [per 100 cycles, based on the eco programme]",0.65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14
37,Dishwasher, hanseatic , HGU6082B14U7735ES ,"Energy consumption [per 100 cycles, based on the eco programme]",0.65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14
38,Dishwasher, hanseatic , HG6085B14U7635ES ,"Energy consumption [per 100 cycles, based on the eco programme]",0.65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14
39,Dishwasher, Hoover , TRV60NORB/1-SC1 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.61,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,6
40,Dishwasher, Hoover , TRV60NOIN/1-SC1 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.61,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,6
41,Dishwasher, ASKO , DFI5344D ,"Energy consumption [per 100 cycles, based on the eco programme]",0.72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13
