,Type,Brand,Model,Type_consumption,Consumption,Label,Other
0,TV/Monitor, IIYAMA CORPORATION , GB2770HSU-B5 ,W,0.0188,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
1,TV/Monitor, IIYAMA CORPORATION , B1980D-B5 ,W,0.0145,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
2,TV/Monitor, IIYAMA CORPORATION , B1980D-W5 ,W,0.0145,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
3,TV/Monitor, IIYAMA CORPORATION , GB2470HSU-B5 ,W,0.018600000000000002,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
4,TV/Monitor, IIYAMA CORPORATION , XB2481HS-B5 ,W,0.0176,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
5,TV/Monitor, HKC , HV24F1 ,W,0.04,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
6,TV/Monitor, SINUDYNE , SI32A2250SM ,W,0.03,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
7,TV/Monitor, SINUDYNE , SI3222HV ,W,0.029,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
8,TV/Monitor, LG Electronics Inc. , 65WN960H0LD ,W,0.213, G,HDR
10,TV/Monitor, Samsung , HG75Q60BAEU ,W,0.201, G,HDR
11,TV/Monitor, iFFALCON , iFF55U62X1 ,W,0.09, G,HDR
12,TV/Monitor, TELECO s.p.a , TEK15W9 ,W,0.0099,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
13,TV/Monitor, Samsung , HG65Q60BAEU ,W,0.164, G,HDR
14,TV/Monitor, Samsung , HG50Q60BAEU ,W,0.102, G,HDR
15,TV/Monitor, Samsung , HG55Q60BAEU ,W,0.13, G,HDR
16,TV/Monitor, Samsung , GQ98QN100BT ,W,0.608, G,HDR
17,TV/Monitor, Samsung , HG43Q60BAEU ,W,0.101, G,HDR
18,TV/Monitor, Samsung , QE98QN100BT ,W,0.608, G,HDR
19,TV/Monitor, Weichensi , SF15 ,W,0.007, D,HDR
20,TV/Monitor, Planar , PLN2400_ ,W,0.0124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,SDR
21,TV/Monitor, Planar , PCT2265_ ,W,0.0146,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
22,TV/Monitor, Planar , PCT2435_ ,W,0.018,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
23,TV/Monitor, acer , ASV15-1BP ,W,0.013,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
24,TV/Monitor, acer , ASV15-1B ,W,0.013,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
25,TV/Monitor, Planar , PXN2710Q_ ,W,0.026,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
26,TV/Monitor, Planar , PZN2710Q_ ,W,0.026,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
27,TV/Monitor, We. by Loewe , We. SEE 43 60512*91 ,W,0.082, G,HDR
28,TV/Monitor, LOEWE. , bild c.43 60442*91 ,W,0.082, G,HDR
30,TV/Monitor, KOORUI , 15B2 ,W,0.007,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,SDR
31,TV/Monitor," Shenzhen Cote Cheng Electronic Co.,Ltd ",  icote-010 ,W,0.0075,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,SDR
32,TV/Monitor, IIYAMA CORPORATION , TF1015MC-B2 B ,W,0.0067,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,SDR
33,TV/Monitor, AG Neovo , LA-2702 ,W,0.018699999999999998,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
34,TV/Monitor, LG Electronics , 24ML60SP ,W,0.0177,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
35,TV/Monitor, LG Electronics , 17MB15TP ,W,0.0124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
36,TV/Monitor, LG Electronics , 22MP410P ,W,0.015300000000000001,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
37,TV/Monitor, LG Electronics , 24BP45YP ,W,0.0177,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
38,TV/Monitor, LG Electronics , 27MP60GP ,W,0.0209,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
39,TV/Monitor, KOORUI , 24E3 ,W,0.018,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
40,TV/Monitor, LG Electronics , 24BP75CP ,W,0.0176,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
