,Type,Brand,Model,Type_consumption,Consumption,Label,Other
0,Oven, Candy , FIDC N686 ,kWh/ciclo,0.89,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,70
1,Oven, Samsung , NV7B5655SDK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
2,Oven, Samsung , NV7B4550VDK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
3,Oven, Samsung , NV7B4550VDS ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
4,Oven, Samsung , NV7B6799JAK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
5,Oven, Samsung , NV7B5755SDS ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
6,Oven, Samsung , NV7B41307DS ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
7,Oven, Samsung , NV7B6795JDK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
8,Oven, Samsung , NV7B7997AAA ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
9,Oven, Samsung , NV7B41201DK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
10,Oven, Samsung , NV7B5775QDK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
11,Oven, Samsung , NV7B6675CDK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
12,Oven, Samsung , NV7B44502DK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
13,Oven, Samsung , NV7B41307DK ,kWh/ciclo,0.88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,76
14,Oven, Exquisit , EBE76-9-H-020 inox ,kWh/ciclo,0.86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,76
15,Oven, Exquisit , EBE76-9-H-020 weiss ,kWh/ciclo,0.86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,76
16,Oven, Exquisit , EBE76-9-H-020 schwarz ,kWh/ciclo,0.86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,76
