,Type,Brand,Model,Type_consumption,Consumption,Label,Other
0,Range hoods, Pitsos , 2MID60T ,Consumo anual de energía,37.9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1,Range hoods, HOTPOINT , PHBS9.8CLTDK/1 ,Consumo anual de energía,49.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
2,Range hoods, MPM , MPM-90-OVS-24 ,Consumo anual de energía,53.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
3,Range hoods, WHIRLPOOL , WHVF 92F LT K ,Consumo anual de energía,47.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
4,Range hoods, WHIRLPOOL , WHVF 62F LT K ,Consumo anual de energía,47.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
5,Range hoods, Dellonda (EU) Ltd , DH127 ,Consumo anual de energía,26.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
6,Range hoods, Dellonda (EU) Ltd , DH129 ,Consumo anual de energía,26.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
7,Range hoods, Dellonda (EU) Ltd , DH130 ,Consumo anual de energía,56.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
8,Range hoods, Junker , JD36BE60 ,Consumo anual de energía,62.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
9,Range hoods, Constructa , CD33686 ,Consumo anual de energía,62.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
10,Range hoods, Dellonda (EU) Ltd , DH126 ,Consumo anual de energía,25.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
11,Range hoods, Junker , JD39BE60 ,Consumo anual de energía,64.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
12,Range hoods, Siemens , EX807NX68E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
13,Range hoods, Siemens , EX877NX68E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
14,Range hoods, DE DIETRICH , DPI7888BH -02 ,Consumo anual de energía,29.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
15,Range hoods, MPM , MPM-60-OW-04 ,Consumo anual de energía,35.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
16,Range hoods, MPM , MPM-45-OW-05 ,Consumo anual de energía,34.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
17,Range hoods, Exquisit , FKH60-2.1 ,Consumo anual de energía,52.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
18,Range hoods, berbel Ablufttechnik GmbH , BKA 83 DLP E06 ,Consumo anual de energía,52.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,
19,Range hoods, TESY , SL 403 RW ,Consumo anual de energía,93.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
20,Range hoods, Haier , HATSI120CBS6BVOC ,Consumo anual de energía,45.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
21,Range hoods, Haier , HATS9CBS6BVOC ,Consumo anual de energía,45.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
22,Range hoods, Haier , HATS6CBS6BVOC ,Consumo anual de energía,45.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
23,Range hoods, Haier , HADG9CBS6BVOC ,Consumo anual de energía,48.9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
24,Range hoods, Candy , CBT625/2X/1/UK ,Consumo anual de energía,27.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
25,Range hoods, Candy , CFT610/5S/1/UK ,Consumo anual de energía,43.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
26,Range hoods, WHIRLPOOL , WHB 92F UT X/1 ,Consumo anual de energía,52.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
27,Range hoods, Candy , CVMI970LX/UK ,Consumo anual de energía,69.2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
28,Range hoods, WHIRLPOOL , WVH 92 K F KIT/1 ,Consumo anual de energía,53.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
29,Range hoods, Elvita , CHF5780S ,Consumo anual de energía,27.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,
30,Range hoods, Elvita , CSF2620X ,Consumo anual de energía,24.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
31,Range hoods, Elvita , CSF5600S ,Consumo anual de energía,41.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
32,Range hoods, Elvita , CSF4600S ,Consumo anual de energía,47.2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
33,Range hoods, Elvita , CSF4800S ,Consumo anual de energía,40.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
34,Range hoods, Elvita , CSF2600X ,Consumo anual de energía,43.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
35,Range hoods, Elvita , CSF1500V ,Consumo anual de energía,53.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
36,Range hoods, Elvita , CSF3600X ,Consumo anual de energía,62.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
37,Range hoods, Elvita , CSF1600V ,Consumo anual de energía,62.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
38,Range hoods, WHIRLPOOL , WVH 92 K/1 ,Consumo anual de energía,53.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
39,Range hoods, HOTPOINT , PHPN6.5 FLMX/1 ,Consumo anual de energía,68.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
40,Range hoods, HOTPOINT , PHPN9.5FLMX/1 ,Consumo anual de energía,68.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
41,Range hoods, WHIRLPOOL , WHCN 94 F LM X/1 ,Consumo anual de energía,75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
42,Range hoods, Bosch , PXX895D57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
43,Range hoods, Bosch , PXX801D57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
44,Range hoods, Bosch , PXX821D57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
45,Range hoods, WHIRLPOOL , WHVS 93F LT BSS/1 ,Consumo anual de energía,75.9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
46,Range hoods, WHIRLPOOL , WHBS 62F LT K/1 ,Consumo anual de energía,53.2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
47,Range hoods, VIVAX , CHO-60BI100T X ,Consumo anual de energía,54.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
48,Range hoods, VIVAX , CHO-60PT100T X ,Consumo anual de energía,55.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
49,Range hoods, VIVAX , CHO-60CHA100T X ,Consumo anual de energía,55.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
50,Range hoods, VIVAX , CHO-60PT100T B ,Consumo anual de energía,55.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
51,Range hoods, VIVAX , CHO-60BI100T B ,Consumo anual de energía,54.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
52,Range hoods, WHIRLPOOL , AKR 916 IX/3 ,Consumo anual de energía,68.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
53,Range hoods, WHIRLPOOL , WHCN 64 F LM X/1 ,Consumo anual de energía,75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
54,Range hoods, Bosch , PXX875D57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
55,Range hoods, BAUKNECHT , DBHPN 65 LM X/1 ,Consumo anual de energía,68.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
56,Range hoods, WHIRLPOOL , AKR 648/3 IX ,Consumo anual de energía,68.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
57,Range hoods, WHIRLPOOL , WHBS 92F LT K/1 ,Consumo anual de energía,53.2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
58,Range hoods, Siemens , EX801LX57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
59,Range hoods, Siemens , EX807LX57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
60,Range hoods, DAVOLINE , ΙOS PRO 090 IX ,Consumo anual de energía,50.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
61,Range hoods, DAVOLINE , IOS PRO 060 IX ,Consumo anual de energía,50.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
62,Range hoods, DAVOLINE , IOS PRO 060 BL ,Consumo anual de energía,50.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
63,Range hoods, MPM , MPM-61-OV-64 ,Consumo anual de energía,60.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
64,Range hoods, Siemens , EX875LX57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
65,Range hoods, Siemens , EX877LX57E ,Consumo anual de energía,61.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
66,Range hoods, ok. , OHO 6331 B ,Consumo anual de energía,21.9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
67,Range hoods, ok. , OHO 6341 W ,Consumo anual de energía,21.9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
68,Range hoods, WHIRLPOOL , WHVS 92F LT K/1 ,Consumo anual de energía,41.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,
69,Range hoods, TESY , SL 401 TB ,Consumo anual de energía,93.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
70,Range hoods, TESY , SL 402 RB ,Consumo anual de energía,93.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
71,Range hoods, TESY , SL 105 2T 60 BL ,Consumo anual de energía,127.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
72,Range hoods, Inventum , AKB9015ZWA ,Consumo anual de energía,25.2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
73,Range hoods, Inventum , AKD9015GTZ ,Consumo anual de energía,53.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
74,Range hoods, Inventum , AKD6005ZWA ,Consumo anual de energía,65.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
75,Range hoods, Inventum , AKI6015RVS ,Consumo anual de energía,67.2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
76,Range hoods, Inventum , AKD8005ZWA ,Consumo anual de energía,65.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
77,Range hoods, Inventum , AKP6000ZWA ,Consumo anual de energía,60.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
78,Range hoods, Inventum , AKO6015ZWA ,Consumo anual de energía,81.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
79,Range hoods, Inventum , AKO6015RVS ,Consumo anual de energía,81.3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
80,Range hoods, CORBERÓ , CCSD635022PD ,Consumo anual de energía,29.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
81,Range hoods, CORBERÓ , CCST3506022TLX ,Consumo anual de energía,34.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
82,Range hoods, EVIDO , CHO6BA.5  ,Consumo anual de energía,59.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
83,Range hoods, SILVERLINE , 4240.9.652.02 ,Consumo anual de energía,97.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
84,Range hoods, SILVERLINE , 4110.9.652.02 ,Consumo anual de energía,95.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
85,Range hoods, CORBERÓ , CCST3506022TLW ,Consumo anual de energía,34.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
86,Range hoods, SILVERLINE , 4140.9.652.02 ,Consumo anual de energía,94.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
87,Range hoods, CORBERÓ , CCSD655022PD ,Consumo anual de energía,76.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
88,Range hoods, CORBERÓ , CCSD955022PD ,Consumo anual de energía,76.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
89,Range hoods, CORBERÓ , CCSC60222CVW ,Consumo anual de energía,45.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
90,Range hoods, DAVOLINE , SQUARE 060 IX ,Consumo anual de energía,53.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
91,Range hoods, privileg , SY-103B3-P1-C81-L22-600 ,Consumo anual de energía,68.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
92,Range hoods, DAVOLINE , SQUARE 060 BL ,Consumo anual de energía,53.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
93,Range hoods, DAVOLINE , SQUARE 090 BL ,Consumo anual de energía,46.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
94,Range hoods, DAVOLINE , SQUARE 090 IX ,Consumo anual de energía,46.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
95,Range hoods, WHIRLPOOL , UEI 102F LR X ,Consumo anual de energía,50.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
96,Range hoods, HISENSE , MH6TL4TB ,Consumo anual de energía,63.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,
97,Range hoods, TEKA , DVI 88-G1 EOS BM ,Consumo anual de energía,40.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,
98,Range hoods, UNITED , HHP-7268/2 ,Consumo anual de energía,94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
99,Range hoods, UNITED , UHS8335 ,Consumo anual de energía,94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,
100,Range hoods, berbel Ablufttechnik GmbH , BKA 90 DLI E01 ,Consumo anual de energía,50.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,
101,Range hoods, BAUKNECHT , DBHVA 62F LM K ,Consumo anual de energía,41.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
102,Range hoods, WHIRLPOOL , WHVA 62F LM K ,Consumo anual de energía,41.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
103,Range hoods, INDESIT , IHVP 62F LT K ,Consumo anual de energía,46.9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
104,Range hoods, WHIRLPOOL , WHVA 92F LM K ,Consumo anual de energía,41.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
105,Range hoods, BAUKNECHT , DBHVA 92F LM K ,Consumo anual de energía,41.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
