,Type,Brand,Model,Type_consumption,Label,Other,Consumption
0,Water heaters, Rossato , AIR COMBO EVO 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.6572298325722983
1,Water heaters, Rossato , AIR COMBO EVO 200S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.3933463796477494
2,Water heaters, Rossato , AIR COMBO EVO 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.3933463796477494
3,Water heaters, Rossato , AIR COMBO EVO 300S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.6572298325722983
59,Water heaters, FONDITAL S.p.A. , WHPS PDC 300 SS + (DHPBVPDC02) ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL,1.732724505327245
63,Water heaters, Nilan A/S , Compact P2 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.6146118721461187
64,Water heaters, ELÍZ , EWHP 200 EW ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1052837573385519
65,Water heaters, ELÍZ , EWHP 300 EW ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.419786910197869
75,Water heaters, Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00549 WPV 200 2G ",Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4222222222222223
76,Water heaters, Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00590 WPV 270 2G ",Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4672754946727549
77,Water heaters, Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00548 WPV 150 2G ",Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.389345509893455
102,Water heaters, Tiki , TC120Z - DHW 120 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7530145189073908
103,Water heaters, Tiki , TC200ZGNT -  DHW LT 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.2477495107632095
104,Water heaters, Tiki , TC201ZGNT-  DHW CLT 200  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.261839530332681
105,Water heaters, Tiki , TC302ZGNT - DHW 2CLT 300  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.5184170471841705
106,Water heaters, Tiki , TC100Z -  DHW 100 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7612172914445083
107,Water heaters, Tiki , TC301ZGNT - DHW CLT 300  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.5171993911719939
108,Water heaters, Tiki , TC120ZNT - DHW LT 120 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7530145189073908
109,Water heaters, Tiki , TC80Z - DHW 80 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7562956279222378
110,Water heaters, Ekallor , BC 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.732724505327245
111,Water heaters, Ekallor , BC 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.4105675146771037
112,Water heaters, Tiki , TC100ZNT -  DHW LT 100 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7612172914445083
113,Water heaters, Tiki , TC300ZGNT - DHW LT 300  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4989345509893455
114,Water heaters, Ekallor , BC 500 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XXL,1.8221668742216688
131,Water heaters, GREE , GMV-S160WL/A-S+NRQD16G/A-S+SXTVD300LCJ2/A-K ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL,2.158904109589041
240,Water heaters, GALANTA , HPWH150 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L,1.9694716242661447
256,Water heaters, Itho Daalderop , 03-00612 WPU 55COE-5G + 03-00548 WPV 150 2G ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.3016742770167429
257,Water heaters, Itho Daalderop , 03-00612 WPU 55COE-5G + 03-00549 WPV 200 2G ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XXL,1.4266500622665006
