Type,Title,eclrow,Content,eclrow7,Content8,Image
 AIGOSTAR , 701QKT-15-40-G ,Useful luminous flux, 1 200,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 700QZM-10-40-G ,Useful luminous flux, 800,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 501CTX-30-64-F ,Useful luminous flux, 3 170,Energy consumption in on-mode, 30,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501CTV-10-64-F ,Useful luminous flux, 940,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501KQI-30-64-F ,Useful luminous flux, 3 170,Energy consumption in on-mode, 30,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Greenlight , 5007392 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501KQJ-50-64-F ,Useful luminous flux, 5 400,Energy consumption in on-mode, 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501KWV-50-40-F ,Useful luminous flux, 5 400,Energy consumption in on-mode, 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Greenlight , 5007393 ,Useful luminous flux, 200,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501CTY-50-64-F ,Useful luminous flux, 5 400,Energy consumption in on-mode, 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501KQH-20-64-F ,Useful luminous flux, 2 100,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501KWS-10-40-F ,Useful luminous flux, 940,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501CTW-20--64-F ,Useful luminous flux, 2 100,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 501KWT-20-40-F ,Useful luminous flux, 2 100,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AIGOSTAR , 100NDA-12-65-G ,Useful luminous flux, 1 160,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NEC-12-30-G ,Useful luminous flux, 1 160,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Maxel , 55160 ,Useful luminous flux, 905,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NEF-20-30-G ,Useful luminous flux, 2 050,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NCZ-12-65-G ,Useful luminous flux, 1 160,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NDF-20-65-G ,Useful luminous flux, 2 050,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NDG-20-65-G ,Useful luminous flux, 2 050,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100IKZ-18-65-G ,Useful luminous flux, 1 830,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NEE-12-65-G ,Useful luminous flux, 1 160,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 AIGOSTAR , 100NEH-20-65-G ,Useful luminous flux, 2 050,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 CENTURY , ING95-082727 ,Useful luminous flux, 1 055,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 LUXIA SRL UNIPERSONALE , LXSF70-27-15W ,Useful luminous flux, 948,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 LUXIA SRL UNIPERSONALE , LXSF70-35-15W ,Useful luminous flux, 1 037,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 LUXIA SRL UNIPERSONALE , LXSF70-57-15W ,Useful luminous flux, 1 066,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Boxxx , 89830016/02 ,Useful luminous flux, 570,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 VK LEADING LIGHT , VK/05124/D/E/CL/W ,Useful luminous flux, 1 055,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Novel , 88760004-01 ,Useful luminous flux, 5 600,Energy consumption in on-mode, 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Novel , 88760002-02 ,Useful luminous flux, 6 900,Energy consumption in on-mode, 57,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 2R , LED CARO M01 DC12V 1W 4000K ,Useful luminous flux, 100,Energy consumption in on-mode, 1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Novel , 88760003-01 ,Useful luminous flux, 4 600,Energy consumption in on-mode, 36,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 2R , LED ANGEL EYE SJ03 3W 4000K ,Useful luminous flux, 300,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Novel , 88760002-01 (LM1) ,Useful luminous flux, 2 000,Energy consumption in on-mode, 19,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Novel , 88760002-01 (LM2) ,Useful luminous flux, 1 650,Energy consumption in on-mode, 16,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Novel , 88760005-01 ,Useful luminous flux, 3 700,Energy consumption in on-mode, 40,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Reolink , Reolink Floodlight WiFi ,Useful luminous flux, 1 480,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zerodue Industrial , L27PGU1095120F ,Useful luminous flux, 590,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Obeaming , OB-12V-LB12-N ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Xmart , SLB23 ,Useful luminous flux, 893,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
