Brand,Model,Imagen,Contenido,Contenido1,Contenido2,Contenido10,Contenido11,Contenido12
 Pitsos , 2MID60T ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 37,9", kWh/año ,Ruido, 53, dB 
 HOTPOINT , PHBS9.8CLTDK/1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 49,3", kWh/año ,Ruido, 70, dB 
 MPM , MPM-90-OVS-24 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 53,4", kWh/año ,Ruido, 68, dB 
 WHIRLPOOL , WHVF 92F LT K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía, 47, kWh/año ,Ruido, 62, dB 
 WHIRLPOOL , WHVF 62F LT K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía, 47, kWh/año ,Ruido, 62, dB 
 Dellonda (EU) Ltd , DH127 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía, 26, kWh/año ,Ruido, 64, dB 
 Dellonda (EU) Ltd , DH129 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía, 26, kWh/año ,Ruido, 65, dB 
 Dellonda (EU) Ltd , DH130 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía, 56, kWh/año ,Ruido, 70, dB 
 Junker , JD36BE60 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 62,7", kWh/año ,Ruido, 63, dB 
 Constructa , CD33686 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 62,7", kWh/año ,Ruido, 63, dB 
 Dellonda (EU) Ltd , DH126 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía, 25, kWh/año ,Ruido, 65, dB 
 Junker , JD39BE60 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 64,7", kWh/año ,Ruido, 63, dB 
 Siemens , EX807NX68E ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 61,8", kWh/año ,Ruido, 69, dB 
 Siemens , EX877NX68E ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 61,8", kWh/año ,Ruido, 69, dB 
 DE DIETRICH , DPI7888BH -02 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,Consumo anual de energía, 29, kWh/año ,Ruido, 58, dB 
 MPM , MPM-60-OW-04 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía," 35,5", kWh/año ,Ruido, 63, dB 
 MPM , MPM-45-OW-05 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía," 34,4", kWh/año ,Ruido, 57, dB 
 Exquisit , FKH60-2.1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía, 52, kWh/año ,Ruido, 70, dB 
 berbel Ablufttechnik GmbH , BKA 83 DLP E06 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,Consumo anual de energía, 52, kWh/año ,Ruido, 72, dB 
 TESY , SL 403 RW ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía," 93,3", kWh/año ,Ruido, 68, dB 
 Haier , HATSI120CBS6BVOC ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 45,1", kWh/año ,Ruido, 55, dB 
 Haier , HATS9CBS6BVOC ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 45,1", kWh/año ,Ruido, 55, dB 
 Haier , HATS6CBS6BVOC ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 45,1", kWh/año ,Ruido, 55, dB 
 Haier , HADG9CBS6BVOC ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 48,9", kWh/año ,Ruido, 54, dB 
 Candy , CBT625/2X/1/UK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 27,1", kWh/año ,Ruido, 64, dB 
 Candy , CFT610/5S/1/UK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía," 43,6", kWh/año ,Ruido, 71, dB 
 WHIRLPOOL , WHB 92F UT X/1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 52,8", kWh/año ,Ruido, 62, dB 
 Candy , CVMI970LX/UK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 69,2", kWh/año ,Ruido, 66, dB 
 WHIRLPOOL , WVH 92 K F KIT/1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 53,5", kWh/año ,Ruido, 63, dB 
 Elvita , CHF5780S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,Consumo anual de energía," 27,6", kWh/año ,Ruido, 67, dB 
 Elvita , CSF2620X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 24,1", kWh/año ,Ruido, 69, dB 
 Elvita , CSF5600S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía, 41, kWh/año ,Ruido, 68, dB 
 Elvita , CSF4600S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía," 47,2", kWh/año ,Ruido, 65, dB 
 Elvita , CSF4800S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,Consumo anual de energía, 40, kWh/año ,Ruido, 65, dB 
 Elvita , CSF2600X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía," 43,6", kWh/año ,Ruido, 67, dB 
 Elvita , CSF1500V ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png,Consumo anual de energía," 53,3", kWh/año ,Ruido, 58, dB 
 Elvita , CSF3600X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,Consumo anual de energía," 62,4", kWh/año ,Ruido, 61, dB 
 Elvita , CSF1600V ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png,Consumo anual de energía," 62,4", kWh/año ,Ruido, 59, dB 
