Type,Title,eclrow,Content,eclrow4,Content5,Image
 Iberna , IDIH 2L952-80 ,Rated capacity for the eco programme (ps), 9,"Energy consumption [per 100 cycles, based on the eco programme]", 70,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Baumatic , BDIH 2L952-80 ,Rated capacity for the eco programme (ps), 9,"Energy consumption [per 100 cycles, based on the eco programme]", 70,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Siemens , SN23HW00ME ,Rated capacity for the eco programme (ps), 14,"Energy consumption [per 100 cycles, based on the eco programme]", 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Bosch , SMS4HMI02E ,Rated capacity for the eco programme (ps), 14,"Energy consumption [per 100 cycles, based on the eco programme]", 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Siemens , SN23HI00KE ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Exquisit , GSP59309-030E weiss ,Rated capacity for the eco programme (ps), 9,"Energy consumption [per 100 cycles, based on the eco programme]", 70,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Exquisit , GSP59313-030E weiss ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Bosch , SBT8YC801E ,Rated capacity for the eco programme (ps), 14,"Energy consumption [per 100 cycles, based on the eco programme]", 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Bosch , SMT8YC801E ,Rated capacity for the eco programme (ps), 14,"Energy consumption [per 100 cycles, based on the eco programme]", 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 HISENSE , HV662C60 ,Rated capacity for the eco programme (ps), 14,"Energy consumption [per 100 cycles, based on the eco programme]", 74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Candy , CF 3E7L0W ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CI 3E6L0W ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Hoover , HF 3E7L0W ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CI 3E7L0W ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Bosch , SGV25AX00E ,Rated capacity for the eco programme (ps), 12,"Energy consumption [per 100 cycles, based on the eco programme]", 102,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KARLXTOM , TDQR03A ,Rated capacity for the eco programme (ps), 2,"Energy consumption [per 100 cycles, based on the eco programme]", 38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Candy , CF 3E9L0W-80 ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 HISENSE , HV673C61 ,Rated capacity for the eco programme (ps), 16,"Energy consumption [per 100 cycles, based on the eco programme]", 76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 GORENJE , GS643D60X ,Rated capacity for the eco programme (ps), 16,"Energy consumption [per 100 cycles, based on the eco programme]", 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Bosch , SMS6ECC51E ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Bosch , SBV6ZCX09E ,Rated capacity for the eco programme (ps), 14,"Energy consumption [per 100 cycles, based on the eco programme]", 75,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Siemens , SN23HC60AE ,Rated capacity for the eco programme (ps), 13,"Energy consumption [per 100 cycles, based on the eco programme]", 84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
