Type,Title,ngstarinserted__divcontains_class_ecludnone,ngstarinserted__divcontains_class_ecludnone3,eclrow,eclrow5,eclrow7,Content8,eclrow9,Image
 Blaupunkt , 5CF350FF1 ,Annual energy consumption," 219,37",Sum of the volumes of the frozen compartment(s), 15,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 189, 189,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Oceanic , OCEACUF188W ,Annual energy consumption, 246,Sum of the volumes of the frozen compartment(s), 188,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Kernau , KFUF 08252.1 W ,Annual energy consumption, 213,Sum of the volumes of the frozen compartment(s), 103,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 COLDIS , CODP206A+ ,Annual energy consumption, 213,Sum of the volumes of the frozen compartment(s), 40,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 166, 166,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WESTWOOD , WRC268-1 ,Annual energy consumption, 277,Sum of the volumes of the frozen compartment(s), 84,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 184, 184,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 FRIONOR , FI1224F ,Annual energy consumption, 182,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 167, 167,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RB315WM1110GR ,Annual energy consumption, 309,Sum of the volumes of the frozen compartment(s), 99,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 219, 219,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RF436GM1110UK ,Annual energy consumption, 355,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 300, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 TCL , RT545GM1220 ,Annual energy consumption, 358,Sum of the volumes of the frozen compartment(s), 142,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 394, 394,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 OSBY , KF1851-2RFS-V ,Annual energy consumption," 290,18",Sum of the volumes of the frozen compartment(s), 83,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 219, 219,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 RADIOLA , RACB292WDX ,Annual energy consumption, 290,Sum of the volumes of the frozen compartment(s), 83,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 217, 217,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
