Type,Title,eclrow,Content,eclrow2,Content3,eclrow5,Image
 ELÍZ , EURO 500 D1 ,Standing loss, 71,Storage volume, 441, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELÍZ , EURO 300 D1 ,Standing loss, 50,Storage volume, 249, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Itho Daalderop , 03-00673 I-WPV 150L 3G ,Standing loss, 26,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Itho Daalderop , 03-00667 WPV 150L 3G ,Standing loss, 26,Storage volume, 150, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Itho Daalderop , 03-00668 WPV 200L 3G ,Standing loss, 37,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00669 WPV 240L 3G ,Standing loss, 42,Storage volume, 240, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00674 I-WPV 200L 3G ,Standing loss, 37,Storage volume, 200, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00675 I-WPV 240L 3G ,Standing loss, 42,Storage volume, 240, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00670 WPV 270L 3G ,Standing loss, 50,Storage volume, 270, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Itho Daalderop , 03-00676 I-WPV 270L 3G ,Standing loss, 50,Storage volume, 270, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELÍZ , EURO 200 D1 ,Standing loss, 48,Storage volume, 182, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , BR-005 ,Standing loss, 30,Storage volume, 50, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Energia ON  , BR-01 ,Standing loss, 45,Storage volume, 100, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Energia ON  , BR-025 ,Standing loss, 85,Storage volume, 245, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZC-02 ,Standing loss, 74,Storage volume, 170, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZC-025 ,Standing loss, 85,Storage volume, 245, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , ZC-05 ,Standing loss, 87,Storage volume, 454, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Energia ON  , BR-02 ,Standing loss, 55,Storage volume, 170, Liters ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
