Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
" BESTAR INDUSTRIAL CO.,LTD. ", PTC-1500TR ,Direct heat output," 1,5",Indirect heat output, -,Energy Efficiency Index, 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
" BESTAR INDUSTRIAL CO.,LTD. ", PTC-1500P1 ,Direct heat output," 1,2",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
" Dongguan Luying Plastic Hardware Products Co., Ltd ", YND-2000D ,Direct heat output," 1,9",Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FULMO/IPG31 , 309020101 ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 FULMO/IPB30 , 309020102 ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 FULMO/IPB40 , 309020103 ,Direct heat output," 3,7",Indirect heat output, -,Energy Efficiency Index, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 CORBERO , CELAB4200 ,Direct heat output," 4,2",Indirect heat output," 0,1",Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 CORBERO , CECB2900 ,Direct heat output," 2,9",Indirect heat output," 0,1",Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 MCZ , CLUB AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , DRACO 8 ,Direct heat output," 7,8",Indirect heat output, -,Energy Efficiency Index, 129,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , EGO COMFORT AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , EGO AIRMATIC 8 M3 CORE ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MAKO COMFORT AIRMATIC 8 M1 CORE ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , SUITE AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
