Type,Title,eclrow,Content,eclrow2,eclrow3,eclrow5,eclrow6,eclrow7,eclrow8,eclrow9,eclrow10,Image
 Amitek , AK2102-10TN ,Annual energy consumption, 628, kWh/annum ,Volume (Chilled), 190, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png
 Amitek , AK2102-11TN ,Annual energy consumption, 628, kWh/annum ,Volume (Chilled), 190, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png
 Amitek , AKT4206-18TN ,Annual energy consumption, 1 332, kWh/annum ,Volume (Chilled), 376, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png
 Amitek , AKT4206-10TN ,Annual energy consumption, 1 332, kWh/annum ,Volume (Chilled), 376, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-DarkOrange.png
 Coolhead , QR 6-5A ,Annual energy consumption, 309, kWh/annum ,Volume (Chilled), 410, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 Coolhead , QN 6-5B ,Annual energy consumption, 1 183, kWh/annum ,Volume (Chilled), 410, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png
 JUKA , G-1 ST/CH 142/70 ,Annual energy consumption, 1 606, kWh/annum ,Volume (Chilled), 280, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 HOSHIZAKI , PREMIER K 60 ,Annual energy consumption, 286, kWh/annum ,Volume (Chilled), 335, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 HOSHIZAKI , PREMIER K BW80 ,Annual energy consumption, 332, kWh/annum ,Volume (Chilled), 457, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 HOSHIZAKI , PREMIER K 70 ,Annual energy consumption, 341, kWh/annum ,Volume (Chilled), 475, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 HOSHIZAKI , PREMIER M 70 ,Annual energy consumption, 341, kWh/annum ,Volume (Chilled), 475, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 HOSHIZAKI , PREMIER M 140 ,Annual energy consumption, 592, kWh/annum ,Volume (Chilled), 1 085, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 HOSHIZAKI , PREMIER K W80 ,Annual energy consumption, 337, kWh/annum ,Volume (Chilled), 475, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 HOSHIZAKI , PREMIER M W80 ,Annual energy consumption, 337, kWh/annum ,Volume (Chilled), 475, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
