Type,Title,eclrow,eclrow1,eclrow2,Content,eclrow4,Image,eclrow5,eclrow7,eclrow8
 Mitsubishi Electric , VL-250CZPVU-R-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 265, m3/h 
 Mitsubishi Electric , VL-250CZPVU-L-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 265, m3/h 
 Mitsubishi Electric , VL-500CZPVU-R-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 530, m3/h 
 Mitsubishi Electric , VL-500CZPVU-L-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 530, m3/h 
 Kermi GmbH , x-well F270 LH ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 Kermi GmbH , x-well F270 R ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 Kermi GmbH , x-well F270 RH ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 LG Electronics Inc. , LZ-H020GBA6 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 3,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 200, m3/h 
 LG Electronics Inc. , LZ-H015GBA6 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 3,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 150, m3/h 
 Kermi GmbH ,  x-well D13 with SmartControl Bluetooth and sensor PP1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 76, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 43, m3/h 
