Marca,Modelo,Imagen,Consumo_en_modo_encendido_en_el_rango_dinámico_normal_SDR,Clase_de_eficiencia_energetica_en_el_modo_de_alto_rango_dinamico_HDR,Consumo_en_modo_encendido_para_el_alto_rango_dinámico_HDR,Tipo
 IIYAMA CORPORATION , GB2770HSU-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 18,8", -, -, Monitor
 IIYAMA CORPORATION , B1980D-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 14,5", -, -, Monitor
 IIYAMA CORPORATION , B1980D-W5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 14,5", -, -, Monitor
 IIYAMA CORPORATION , GB2470HSU-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 18,6", -, -, Monitor
 IIYAMA CORPORATION , XB2481HS-B5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,6", -, -, Monitor
 HKC , HV24F1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 40, -, -, Televisión
 SINUDYNE , SI32A2250SM ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 30, -, -, Televisión
 SINUDYNE , SI3222HV ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 29, -, -, Televisión
 LG Electronics Inc. , 65WN960H0LD ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 95, G, 213, Televisión
 BenQ , RM8603A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 344, -, -, Señalización
 Samsung , HG75Q60BAEU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 116, G, 201, Televisión
