Type,Title,eclrow2,Content,eclrow5,Content6,Image
 Mitsubishi Electric , VL-250CZPVU-R-EG ,Annual Electricity Consumption," 1,9",Maximum flow rate, 265,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Mitsubishi Electric , VL-250CZPVU-L-EG ,Annual Electricity Consumption," 1,9",Maximum flow rate, 265,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Mitsubishi Electric , VL-500CZPVU-R-EG ,Annual Electricity Consumption, 2,Maximum flow rate, 530,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Mitsubishi Electric , VL-500CZPVU-L-EG ,Annual Electricity Consumption, 2,Maximum flow rate, 530,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Kermi GmbH , x-well F270 LH ,Annual Electricity Consumption, 271,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Kermi GmbH , x-well F270 R ,Annual Electricity Consumption, 271,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Kermi GmbH , x-well F270 RH ,Annual Electricity Consumption, 271,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 LG Electronics Inc. , LZ-H020GBA6 ,Annual Electricity Consumption," 3,8",Maximum flow rate, 200,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 LG Electronics Inc. , LZ-H015GBA6 ,Annual Electricity Consumption," 3,9",Maximum flow rate, 150,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Kermi GmbH ,  x-well D13 with SmartControl Bluetooth and sensor PP1 ,Annual Electricity Consumption, 76,Maximum flow rate, 43,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
