Type,Title,eclrow15,Content16,eclrow11,Content12,Image
 Rossato , AIR COMBO EVO 300 ,Annual electricity consumption , 1 361,Water heating energy efficiency, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Rossato , AIR COMBO EVO 200S ,Annual electricity consumption , 890,Water heating energy efficiency, 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Rossato , AIR COMBO EVO 200 ,Annual electricity consumption , 890,Water heating energy efficiency, 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Rossato , AIR COMBO EVO 300S ,Annual electricity consumption , 1 361,Water heating energy efficiency, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 CORBERO , CCEP110GNNOX ,Annual fuel consumption, 6,Annual electricity consumption , 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 CORBERO , CCATP10GNNOX ,Annual fuel consumption, 6,Annual electricity consumption , 1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 CORBERO , CCEP110GBNOX ,Annual fuel consumption, 6,Annual electricity consumption , 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 CORBERO , CCATP10GBNOX ,Annual fuel consumption, 6,Annual electricity consumption , 1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 TESY , GCV 803830 B12 TSR (TIN: 306061) ,Annual fuel consumption, -,Annual electricity consumption , 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , CTV 803830 B12 TSR (TIN: 306062) ,Annual fuel consumption, -,Annual electricity consumption , 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 FAR SAIL® , YF-001AA ,Annual fuel consumption, -,Annual electricity consumption , 462,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Itho Daalderop , 03-00566 Green Energy Smartboiler 60L Mono ,Annual fuel consumption, -,Annual electricity consumption , 1 317,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Itho Daalderop , 03-00567 Green Energy Smartboiler 80L Mono ,Annual fuel consumption, -,Annual electricity consumption , 1 294,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Itho Daalderop , 03-00573 Green Energy Smartboiler 150L  ,Annual fuel consumption, -,Annual electricity consumption , 2 670,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Itho Daalderop , 03-00568 Green Energy Smartboiler 120L Mono ,Annual fuel consumption, -,Annual electricity consumption , 2 556,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Itho Daalderop , 03-00572 Green Energy Smartboiler 120L  ,Annual fuel consumption, -,Annual electricity consumption , 2 632,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Itho Daalderop , 03-00569 Green Energy Smartboiler 150L Mono ,Annual fuel consumption, -,Annual electricity consumption , 2 907,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-LightOrange.png
" Zhejiang UniSpa Hydrotherapy System Co.,Ltd ", GH-22 ,Annual fuel consumption, 4,Annual electricity consumption , 555,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 SIME , MINI 11 EV OF ErP ,Annual fuel consumption, 6,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 CHROMAGEN , CHROMAGEN NTS 80 VR 3200790 ,Annual fuel consumption, -,Annual electricity consumption , 1 424,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CHROMAGEN , CHROMAGEN NTS 100 VR 3200791 ,Annual fuel consumption, -,Annual electricity consumption , 2 764,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CHROMAGEN , CHROMAGEN NTS 50 VR 3200789 ,Annual fuel consumption, -,Annual electricity consumption , 1 426,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Ningbo Zhenpin electrical industry , WM-FP-WY ,Annual fuel consumption, -,Annual electricity consumption , 462,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 TESY , GCH 804420 B12 TSR (TIN: 306043) ,Annual fuel consumption, -,Annual electricity consumption , 1 410,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 504720 C21 TSR (TIN: 306044) ,Annual fuel consumption, -,Annual electricity consumption , 1 360,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 1004720 C21 TSR (TIN: 306046) ,Annual fuel consumption, -,Annual electricity consumption , 2 726,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCH 503520 B12 TSR (TIN: 306042) ,Annual fuel consumption, -,Annual electricity consumption , 1 418,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCV 804720 C21 TSR (TIN: 306045) ,Annual fuel consumption, -,Annual electricity consumption , 1 335,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 PROMOTEC , GCA 1015 M54 RC (TIN: 306040) ,Annual fuel consumption, -,Annual electricity consumption , 535,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 PROMOTEC , GCU 1015 M54 RC (TIN: 306041) ,Annual fuel consumption, -,Annual electricity consumption , 574,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 UNITO SMART , UNITO LAVA G2 8L WITH MIXER ,Annual fuel consumption, -,Annual electricity consumption , 494,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 PUDIN , SDR-18DC-3H ,Annual fuel consumption, -,Annual electricity consumption , 83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON ," BLU1 ECO 100 V 1,5K ES EU 3200793 ",Annual fuel consumption, -,Annual electricity consumption , 1 284,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ARISTON ," BLU1 ECO 50 V 1,5K ES EU 3200792 ",Annual fuel consumption, -,Annual electricity consumption , 1 284,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 CORBERO , CTEV350 ,Annual fuel consumption, -,Annual electricity consumption , 559,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CORBERO , CTEV800 ,Annual fuel consumption, -,Annual electricity consumption , 1 423,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CORBERO , CTEV1000 ,Annual fuel consumption, -,Annual electricity consumption , 2 768,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CORBERO , CTEV500 ,Annual fuel consumption, -,Annual electricity consumption , 1 415,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , CTV 1004415 D07 TRC (TIN: 306013) ,Annual fuel consumption, -,Annual electricity consumption , 2 734,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , CTV 504415 D07 TRC (TIN: 306014) ,Annual fuel consumption, -,Annual electricity consumption , 1 421,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , CTVOL 804415 D07 TRC (TIN: 306015) ,Annual fuel consumption, -,Annual electricity consumption , 1 424,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CHROMAGEN , CHROMAGEN 150 VERT 560 THER MO 3010626 ,Annual fuel consumption, -,Annual electricity consumption , 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 CHROMAGEN , CHROMAGEN 200 VERT 560 THER MO 3010627 ,Annual fuel consumption, -,Annual electricity consumption , 2 764,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCA 1015 M54 RC (TIN: 305921) ,Annual fuel consumption, -,Annual electricity consumption , 535,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 TESY , GCU 1015 M54 RC (TIN: 305922) ,Annual fuel consumption, -,Annual electricity consumption , 574,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 TESY , GCA 1515 M54 RC (TIN: 305923) ,Annual fuel consumption, -,Annual electricity consumption , 555,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 TESY , GCU 1515 M54 RC (TIN: 305924) ,Annual fuel consumption, -,Annual electricity consumption , 574,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ARISTON , PRO1 POWERFLEX 80 V EU 3201584 ,Annual fuel consumption, -,Annual electricity consumption , 1 284,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ARISTON , PRO1 POWERFLEX 50 V EU 3201583 ,Annual fuel consumption, -,Annual electricity consumption , 1 284,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 PUDIN ,   SDR-18DF-3H ,Annual fuel consumption, 1,Annual electricity consumption , 83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ELDOM , DV060W-W ,Annual fuel consumption, -,Annual electricity consumption , 1 274,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , DV080DW-W ,Annual fuel consumption, -,Annual electricity consumption , 1 238,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , DV100DW-W ,Annual fuel consumption, -,Annual electricity consumption , 1 311,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , DV060DW-W ,Annual fuel consumption, -,Annual electricity consumption , 1 274,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , DV080W-W ,Annual fuel consumption, -,Annual electricity consumption , 1 238,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ELDOM , DV100W-W ,Annual fuel consumption, -,Annual electricity consumption , 1 311,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 CAMPLUX , BW158BC-DE ,Annual fuel consumption, 2,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 ARISTON , PRO1 R 100 MULTIS DRY ES EU 3201599 ,Annual fuel consumption, -,Annual electricity consumption , 2 764,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ARISTON , PRO1 R 80 MULTIS DRY ES EU 3201598 ,Annual fuel consumption, -,Annual electricity consumption , 1 424,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 FONDITAL S.p.A. , WHPS PDC 300 SS + (DHPBVPDC02) ,Annual electricity consumption , 1 423,Water heating energy efficiency, 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ARISTON , PRO1 R 50 MULTIS DRY ES EU 3201597 ,Annual fuel consumption, -,Annual electricity consumption , 1 426,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Bosch , 7736506610 ,Annual fuel consumption, 7,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Bosch , 7736506611 ,Annual fuel consumption, 7,Annual electricity consumption , -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Nilan A/S , Compact P2 ,Annual electricity consumption , 1 326,Water heating energy efficiency, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 ELÍZ , EWHP 200 EW ,Annual electricity consumption , 706,Water heating energy efficiency, 145,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 ELÍZ , EWHP 300 EW ,Annual electricity consumption , 1 166,Water heating energy efficiency, 143,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 TESY , GCR 502712 E32 EC (TIN: 305858) ,Annual fuel consumption, -,Annual electricity consumption , 1 312,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 TESY , GCR 802712 E32 EC (TIN: 305859) ,Annual fuel consumption, -,Annual electricity consumption , 1 308,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 TESY , GCHL 303515 B12 TSRC (TIN: 305476) ,Annual fuel consumption, -,Annual electricity consumption , 577,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCHL 503520 B12 TSRC (TIN: 305477) ,Annual fuel consumption, -,Annual electricity consumption , 1 418,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 821522 ,Annual fuel consumption, -,Annual electricity consumption , 527,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ATLANTIC , 821520 ,Annual fuel consumption, -,Annual electricity consumption , 527,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ATLANTIC , 821521 ,Annual fuel consumption, -,Annual electricity consumption , 576,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ATLANTIC , 821528 ,Annual fuel consumption, -,Annual electricity consumption , 576,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 ATLANTIC , 831236 ,Annual fuel consumption, -,Annual electricity consumption , 576,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00549 WPV 200 2G ",Annual electricity consumption , 1 168,Water heating energy efficiency, 143,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00590 WPV 270 2G ",Annual electricity consumption , 1 205,Water heating energy efficiency, 139,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Itho Daalderop ," 03-00615 W/W Warmtepomp 5G - 7,5 kW collectieve bron + 03-00548 WPV 150 2G ",Annual electricity consumption , 1 141,Water heating energy efficiency, 147,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Thermex , ID 80 H (shadow) Wi-Fi ,Annual fuel consumption, -,Annual electricity consumption , 1 315,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Thermex , IF 50 H (comfort) Wi-Fi ,Annual fuel consumption, -,Annual electricity consumption , 1 426,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Thermex , IF 80 H (comfort) Wi-Fi ,Annual fuel consumption, -,Annual electricity consumption , 1 426,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 Concepta , GCV 804415 D07 TRC (TIN: 305950) ,Annual fuel consumption, -,Annual electricity consumption , 2 762,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 TESY , GCR 302712 E31 ECW (TIN: 305949) ,Annual fuel consumption, -,Annual electricity consumption , 482,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 ATLANTIC , 155413 ,Annual fuel consumption, -,Annual electricity consumption , 2 646,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 023152 ,Annual fuel consumption, -,Annual electricity consumption , 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 023178 ,Annual fuel consumption, -,Annual electricity consumption , 2 722,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 SVAN , SVTE501H ,Annual fuel consumption, -,Annual electricity consumption , 1 418,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 SVAN , SVTE801H ,Annual fuel consumption, -,Annual electricity consumption , 1 422,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 155412 ,Annual fuel consumption, -,Annual electricity consumption , 2 669,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 023193 ,Annual fuel consumption, -,Annual electricity consumption , 2 717,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 155411 ,Annual fuel consumption, -,Annual electricity consumption , 2 652,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 SVAN , SVTE50A4 ,Annual fuel consumption, -,Annual electricity consumption , 1 421,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ATLANTIC , 023172 ,Annual fuel consumption, -,Annual electricity consumption , 1 413,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ASPES , ATE050 ,Annual fuel consumption, -,Annual electricity consumption , 1 421,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ACAPULCO , APL 100 VERT 560 PTEC MO EU 3000617 ,Annual fuel consumption, -,Annual electricity consumption , 2 752,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ACAPULCO , APL 300 STAB 570 PTEC MO EU 3000660 ,Annual fuel consumption, -,Annual electricity consumption , 2 767,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 ACAPULCO , APL 150 VERT 560 PTEC MO EU 3000659 ,Annual fuel consumption, -,Annual electricity consumption , 1 423,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
