Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
ahorro energía,720,45,0.35,0.24,32900000,Informational,"Reviews, Site links, Top stories, People also ask, Image pack, Video carousel, Twitter","0.30,0.30,0.55,0.55,0.45,0.45,0.45,0.62,0.45,0.62,0.45,0.30"
como ahorrar la energía,720,45,0.35,0.24,20000000,Informational,"Featured snippet, Reviews, Site links, Video carousel","0.30,0.30,0.54,0.54,0.41,0.41,0.41,0.66,0.00,0.00,0.00,0.00"
de ahorro de energía,720,44,0.46,0.52,38400000,Informational,"Reviews, Site links, FAQ, Top stories, People also ask, Image pack, Video carousel","0.45,0.55,0.67,0.55,0.45,0.55,0.55,0.76,0.55,0.55,0.45,0.36"
ahorro de energía,590,42,0.46,0.52,37100000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Twitter","0.48,0.59,0.72,0.59,0.48,0.59,0.59,0.88,0.72,0.59,0.48,0.59"
ahorrar energía,480,49,0.35,0.24,18100000,Informational,"Featured snippet, Reviews, Site links, People also ask, Image pack, Video carousel","0.29,0.36,0.54,0.54,0.44,0.44,0.44,0.67,0.36,1.00,0.54,0.29"
el modo ahorro de energía daña la batería,480,32,0.00,0.01,82700,Informational,"Featured snippet, Video, People also ask, Image pack","1.00,0.01,0.07,0.01,0.08,0.02,0.01,0.01,0.00,0.00,0.00,0.00"
es malo tener el modo ahorro de energía siempre,480,33,0.00,0.00,1100000,Informational,"Reviews, Video, People also ask","1.00,0.54,0.20,0.03,0.20,0.41,0.03,0.03,0.00,0.02,0.02,0.02"
10 consejos para ahorrar energía en el hogar,260,30,0.19,0.21,2600000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.02,0.02,0.48,0.48,0.02,0.32,1.00,0.32,0.21,0.32,0.14,0.02"
quitar ahorro de energía,210,39,0.00,0.00,2000000,Informational,"Featured snippet, Reviews, Site links, People also ask, Video carousel","0.21,0.14,0.39,0.02,0.48,1.00,0.07,0.02,0.00,0.00,0.00,0.00"
ahorrador de energía,140,34,0.46,0.52,683000,Informational,"Featured snippet, Reviews, Video, Image, People also ask, Video carousel","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.01,1.00,0.05"
ahorrador de energía casero,140,38,0.00,0.64,20400,Informational,"Featured snippet, Reviews, Video, People also ask, Image pack","0.01,1.00,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
instituto para la diversificación y ahorro dela energía,140,44,0.79,0.06,1250000,Navigational,"Site links, FAQ, People also ask, Image pack, Knowledge panel","0.42,0.80,0.80,1.00,0.66,0.80,0.80,1.00,0.80,0.66,0.80,0.66"
5 formas de ahorrar energía,110,35,0.21,0.26,5510000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.21,0.43,1.00,0.65,0.43,0.21,0.21,0.21,0.21,0.43,0.15,0.06"
ahorra energía eléctrica,110,46,0.65,0.35,3840000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.42,0.42,0.42,0.65,0.26,0.34,0.26,0.53,0.34,0.53,0.53,0.26"
día mundial del ahorro de energía,110,24,0.00,0.00,9810000,Informational,"Featured snippet, FAQ, People also ask, Video carousel","0.03,0.17,1.00,0.02,0.02,0.03,0.03,0.05,0.02,0.03,0.04,0.04"
formas de ahorrar energía,110,44,0.31,0.24,6790000,Informational,"Featured snippet, Reviews, FAQ, Video, People also ask","0.03,0.06,0.15,0.28,0.15,0.28,0.28,0.53,0.53,1.00,0.53,0.09"
