Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
ahorro total,14800,42,0.26,1.00,82900000,Navigational,"Local pack, Reviews, Site links, FAQ, Image, Image pack","0.81,0.81,0.81,0.81,0.54,0.81,0.81,0.81,0.66,0.66,0.44,0.44"
ahorra mas,9900,42,0.44,0.01,72200000,Navigational,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Twitter, Knowledge panel","0.24,0.29,0.29,0.29,0.36,0.36,0.36,0.54,1.00,0.66,0.54,0.54"
como ahorrar dinero,4400,39,0.29,0.29,60400000,Informational,"Reviews, Site links, Top stories, People also ask, Image pack, Video carousel","0.66,0.66,0.66,0.66,0.54,1.00,0.66,0.66,0.54,0.54,0.54,0.54"
ahorrar,3600,43,0.55,0.07,120000000,Informational,"Reviews, Video, Top stories, People also ask, Video carousel","0.65,0.81,0.81,1.00,0.81,1.00,0.81,1.00,0.54,0.54,0.65,0.54"
ahorro,3600,57,0.55,0.07,320000000,Commercial,"Local pack, Reviews, Site links, Top stories, People also ask, Image pack","0.43,0.54,0.54,0.66,0.54,0.66,0.54,0.66,0.43,0.81,1.00,0.66"
cooperativa de ahorro y credito,3600,50,0.56,0.01,2560000,Commercial,"Local pack, Reviews, Site links, Video, Image, People also ask, Knowledge panel","0.66,0.54,0.44,0.29,0.13,0.07,0.13,0.19,0.29,0.13,0.10,0.13"
muebles ahorro total,3600,40,0.25,0.87,77,Navigational,"Local pack, Reviews, Site links, FAQ, Video, Image, Image pack","0.66,0.66,0.66,0.43,0.28,0.43,0.43,0.54,0.54,0.54,0.54,0.54"
canarias ahorra,2900,35,0.46,0.00,3860000,Navigational,"Reviews, Site links, Video, Image, Knowledge panel","0.81,1.00,1.00,0.65,0.81,0.81,0.54,0.65,0.05,0.00,0.00,0.04"
cheque ahorro carrefour,2900,30,0.40,0.06,139000,"Informational, Transactional","Reviews, People also ask, Image pack, Video carousel","0.36,0.66,0.28,1.00,0.36,0.66,0.28,0.54,0.36,0.43,0.28,0.54"
compromiso ahorro repsol,2900,18,1.17,0.33,95,"Informational, Transactional","Reviews, Site links, FAQ, Video, Image pack","0.16,0.19,0.19,0.23,0.23,0.23,0.35,0.54,0.44,0.54,0.81,1.00"
ahorra en luz,2400,44,0.63,0.49,21000000,Informational,"Reviews, Video, Image pack","0.29,0.43,0.65,0.81,0.54,0.54,0.43,1.00,0.43,0.36,0.29,0.29"
ahorro total muebles,2400,42,0.25,0.87,86,Navigational,"Local pack, Reviews, Site links, FAQ, Video, Video carousel","0.66,0.66,0.66,0.44,0.36,0.44,0.44,0.52,0.52,0.80,1.00,1.00"
ahorradoras,1900,52,0.66,0.02,941000,"Informational, Navigational","Reviews, Site links, Video, Image pack, Knowledge panel","0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.00,0.66,0.79,0.66,0.66"
ahorrar luz,1900,56,0.63,0.49,21900000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Video carousel","0.34,0.44,0.65,0.82,0.55,0.55,0.44,1.00,1.00,0.55,0.55,0.44"
ahorros,1900,55,0.55,0.07,46900000,Informational,"Site links, Video, People also ask, Video carousel","0.66,0.79,0.79,1.00,0.79,1.00,0.79,1.00,0.66,1.00,0.66,0.66"
cuenta ahorro,1900,49,0.62,0.73,160000000,Commercial,"Reviews, Site links, FAQ, People also ask, Video carousel, Adwords top","0.79,0.79,0.79,0.79,0.79,1.00,0.79,0.79,0.79,0.79,0.79,0.79"
ahorra mas horario,1600,28,0.00,0.00,60,Commercial,"Local pack, Reviews, Image, People also ask, Image pack","0.65,0.65,0.65,0.65,1.00,0.65,0.44,0.34,0.13,0.13,0.08,0.08"
ahorrador de bateria,1600,36,0.13,0.03,171000,"Informational, Transactional","Reviews, Video, People also ask, Video carousel","0.54,0.54,0.54,0.66,0.79,0.66,0.66,0.79,0.79,1.00,1.00,1.00"
ahorrar dinero,1600,34,0.29,0.29,40700000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.66,0.66,0.66,0.66,0.54,1.00,0.66,0.66,0.54,0.54,0.79,0.79"
cuanta de ahorro,1600,46,0.72,0.58,177000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack","0.68,1.00,1.00,0.68,0.68,1.00,1.00,1.00,0.68,0.84,0.84,0.84"
ahorra,1300,50,0.55,0.07,133000000,Commercial,"Local pack, Reviews, Site links, Image, People also ask, Image pack","0.81,0.81,0.81,1.00,0.81,1.00,0.81,1.00,0.81,0.81,1.00,1.00"
ahorra en tinta,1300,31,0.69,0.09,7080000,Navigational,"Reviews, Site links, Knowledge panel","0.45,0.62,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.55"
ahorra luz,1300,46,0.63,0.49,20300000,Informational,"Reviews, Video, People also ask, Image pack, Video carousel","0.30,0.54,0.66,0.79,0.54,0.54,0.54,1.00,0.41,0.41,0.24,0.30"
ahorrarás,1300,29,0.55,0.07,6500000,Commercial,"Local pack, Reviews, Video, Image pack","0.55,0.62,0.62,0.81,0.62,0.81,0.62,0.81,0.81,0.62,1.00,0.62"
ahorro de batería,1300,37,0.13,0.03,9630000,Informational,"Reviews, People also ask, Image pack, Video carousel","0.30,0.30,0.30,0.34,0.44,0.34,0.34,0.44,0.65,0.82,0.82,1.00"
ahorro del dinero,1300,38,0.29,0.29,101000000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.66,0.66,0.66,0.66,0.54,1.00,0.66,0.66,0.00,0.00,0.00,0.00"
ahorro total sofas,1300,39,0.27,1.00,81,Transactional,"Local pack, Reviews, Site links, Image, Image pack, Video carousel","0.81,1.00,1.00,1.00,0.62,1.00,0.81,1.00,0.81,0.81,0.81,1.00"
bbva cuenta ahorro,1300,36,7.47,0.28,97,"Navigational, Transactional","Reviews, Video, Image pack, Adwords top","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.76,0.67,0.24"
caja de ahorros,1300,57,0.81,0.08,15200000,Commercial,"Local pack, Site links, Video, Image, People also ask, Knowledge panel","0.81,1.00,0.81,0.62,0.55,0.62,0.62,1.00,0.81,0.81,1.00,1.00"
como ahorrar,1300,37,0.28,0.22,116000000,Informational,"Reviews, Site links, Video, Top stories, People also ask, Image pack, Video carousel","0.84,0.68,0.52,0.68,0.68,1.00,0.68,1.00,0.84,0.84,0.68,0.68"
como ahorrar agua,1300,42,0.30,0.18,32700000,Informational,"Featured snippet, FAQ, People also ask, Image pack, Video carousel","0.16,0.20,0.54,0.79,0.41,0.54,0.66,1.00,0.54,0.54,0.41,0.24"
como ahorrar en la factura de la luz,1300,56,0.93,0.56,4100000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Video carousel","0.29,0.29,0.36,0.36,0.22,0.36,0.36,0.65,0.22,0.16,0.13,0.10"
cuenta ahorro bbva,1300,42,7.47,0.28,86,"Navigational, Transactional","Reviews, Video, People also ask, Image pack","0.81,1.00,1.00,0.81,0.81,1.00,0.81,1.00,0.62,0.62,0.55,0.81"
