Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
aislamiento termico,2400,39,0.55,1.00,2450000,Commercial,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.52,0.52,0.80,1.00,0.66,0.80,0.66,0.66,0.52,0.52,0.52,0.66"
aislamiento térmico,1600,38,0.55,1.00,9650000,Commercial,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.54,0.79,1.00,0.66,0.79,0.66,0.66,0.02,0.08,0.66,0.66"
aislamientos termicos,1600,20,0.43,1.00,199000,Commercial,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.54,0.79,1.00,0.66,0.79,0.66,0.54,0.66,0.66,0.79,0.79"
aislamiento termico paredes,720,26,0.49,1.00,423000,Informational,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.36,0.36,0.55,1.00,0.67,1.00,0.55,0.67,0.55,0.45,0.36,0.45"
tipos de aislamiento termico,720,33,0.31,0.88,404000,Informational,"Featured snippet, Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.01,0.04,1.00,0.52,0.52,0.20,0.01,0.01,0.03,0.01,0.00,0.01"
aislamiento térmico paredes interiores sin obra,480,12,0.42,1.00,480000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.36,0.36,0.67,1.00,0.67,1.00,0.67,0.67,0.44,0.29,0.36,0.44"
mejor aislamiento térmico bajo cubierta,480,17,0.40,1.00,852000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.03,0.41,0.79,1.00,0.01,0.01,0.07,0.01,0.02,0.02,0.02,0.02"
aislamiento termico paredes interiores sin obra,390,12,0.42,1.00,1520000,Informational,"Reviews, Site links, Image, People also ask, Video carousel","0.36,0.29,0.54,1.00,0.66,1.00,0.54,0.54,0.54,0.36,0.36,0.54"
aislamiento termico techos,260,20,0.43,1.00,4350000,Informational,"Site links, Image, People also ask, Image pack, Video carousel","0.66,0.43,0.54,0.66,0.43,0.66,0.43,0.43,0.43,0.66,0.66,1.00"
aislamiento termico tejados,260,10,0.48,1.00,60200,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.25,0.07,0.02,0.02,0.04,0.02,0.08,0.02,0.01,0.05,0.07,0.07"
aislamiento termico ventanas,260,26,0.35,1.00,245000,Commercial,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.35,0.44,0.54,1.00,0.44,0.54,0.35,0.35,0.28,0.28,0.23,0.28"
pladur con aislamiento térmico incorporado bricomart,260,19,1.01,0.99,53,"Informational, Transactional","Reviews, Site links, Video, Image, Image pack","0.29,0.43,0.54,0.81,0.66,1.00,0.81,0.54,0.54,0.35,0.54,0.66"
subvenciones aislamiento termico,260,25,0.44,0.32,97900,Informational,"Featured snippet, FAQ","0.02,0.01,0.08,0.13,1.00,0.01,0.03,0.01,0.02,0.01,0.02,0.00"
aislamiento termico exterior,210,18,0.38,1.00,505000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.65,0.65,0.81,1.00,0.81,1.00,0.65,0.53,0.43,0.34,0.53,0.65"
aislamiento termico leroy merlin,210,33,0.33,1.00,44,"Informational, Transactional","Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.81,0.65,0.81,1.00,0.81,0.81,0.43,0.65,0.43,0.43,0.43,0.65"
aislamiento termico techo,210,24,0.43,1.00,268000,Informational,"Local pack, Reviews, Image, People also ask, Image pack, Video carousel","0.66,0.43,0.53,0.66,0.43,0.66,0.43,0.43,0.43,0.53,0.66,1.00"
aislamiento termico y acustico,210,18,0.39,0.99,141000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.53,0.80,0.80,1.00,1.00,1.00,1.00,1.00,0.53,0.53,0.53,0.65"
ayudas aislamiento térmico viviendas 2022,210,46,0.35,0.37,58100,Informational,"Featured snippet, Reviews, FAQ, People also ask","0.00,0.00,0.00,0.00,0.00,0.44,1.00,0.44,0.44,0.44,0.54,0.44"
pladur con aislamiento térmico incorporado precio,210,12,0.73,0.98,66,Commercial,"Site links, FAQ, Video, Image, People also ask, Image pack","0.34,0.53,0.81,1.00,0.81,1.00,0.81,0.65,0.53,0.43,0.43,0.65"
aislamiento termico cubierta inclinada,170,19,0.52,1.00,210000,"Informational, Commercial","Site links, Video, Image, People also ask, Image pack, Video carousel","0.81,0.35,0.01,1.00,0.35,0.44,0.01,0.01,0.23,0.06,0.05,0.05"
aislamiento termico reflexivo multicapa,170,12,0.29,1.00,80,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.01,0.01,0.01,1.00,0.01,0.14,0.05,0.05,0.03,0.02,0.02,0.03"
aislamiento termico sate,170,21,0.32,0.82,51200,Informational,"Local pack, Site links, Image, People also ask, Image pack, Video carousel","0.01,0.21,0.05,0.48,0.01,0.14,1.00,0.05,0.04,0.05,0.05,0.05"
aislamiento térmico techos sin obra,170,22,0.41,1.00,535000,Informational,"Reviews, People also ask, Image pack, Video carousel","0.65,0.34,0.43,0.81,0.65,0.81,0.43,0.43,0.43,0.43,0.65,1.00"
aislamientos termicos exteriores,170,18,0.38,1.00,318000,"Informational, Commercial","Site links, Image, People also ask, Image pack, Video carousel","0.80,0.80,1.00,1.00,1.00,1.00,0.80,0.53,0.19,0.15,0.19,0.26"
ayudas aislamiento térmico viviendas 2021,170,41,0.38,0.39,42500,Informational,"Featured snippet, Reviews, Site links","0.43,0.65,1.00,1.00,0.81,0.81,0.34,0.21,0.12,0.06,0.06,0.06"
pladur aislamiento termico,170,17,0.39,1.00,48500,Informational,"FAQ, Image, People also ask, Image pack, Video carousel","0.42,0.42,0.80,1.00,0.80,0.80,0.80,1.00,0.42,0.53,0.42,0.42"
puertas con aislamiento termico,170,10,0.36,1.00,4010000,"Informational, Commercial","Reviews, Image, People also ask, Image pack, Video carousel","0.05,0.01,0.04,1.00,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
subvencion aislamiento termico,170,17,0.44,0.32,2610,Commercial,FAQ,"0.02,0.02,0.02,1.00,0.59,0.02,0.02,0.02,0.02,0.02,0.02,0.04"
aislamiento termico bricomart,140,19,0.33,0.96,59,"Navigational, Transactional","Reviews, Video, Image, Image pack","0.42,0.53,0.53,1.00,0.65,0.65,0.53,0.53,0.34,0.26,0.26,0.42"
aislamiento termico interior,140,15,0.46,1.00,637000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.34,0.43,0.43,0.65,0.53,1.00,0.43,0.53,0.34,0.34,0.34,0.34"
aislamiento termico techos sin obra,140,11,0.41,1.00,2130000,Informational,"Reviews, People also ask, Image pack, Video carousel","0.65,0.34,0.42,0.80,0.65,0.80,0.53,0.53,0.42,0.53,0.65,1.00"
aislamiento térmico paredes exteriores,140,16,0.37,1.00,868000,Informational,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02"
empresas de aislamiento termico,140,13,0.69,0.66,239000,Commercial,"Local pack, Reviews, People also ask","0.42,0.42,0.53,0.80,0.53,1.00,0.42,0.42,0.34,0.34,0.42,0.53"
aislamiento termico bricodepot,110,23,0.18,1.00,69,Navigational,"Reviews, Video, Image, People also ask, Image pack, Adwords bottom","0.04,0.02,0.02,1.00,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02"
aislamiento termico casa,110,21,0.54,0.94,6190000,Commercial,"Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.02,0.11,0.02,0.02,0.02,1.00,0.04,0.02,0.02,0.02,0.02,0.02"
aislamiento termico cubiertas inclinadas,110,17,0.52,1.00,186000,Informational,"Site links, Video, Image, People also ask, Image pack, Video carousel","0.80,1.00,0.03,0.80,0.42,0.65,0.26,0.07,0.53,0.42,0.34,0.42"
aislamiento termico eps,110,10,0.39,0.65,49100,Informational,"Reviews, Image, People also ask, Video carousel","0.01,0.02,0.19,1.00,0.12,0.36,0.01,0.19,0.04,0.04,0.02,0.02"
aislamiento termico fachadas,110,15,0.45,0.83,136000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.50,0.64,0.64,0.78,0.78,0.78,1.00,0.78,0.78,0.78,0.50,0.78"
aislamiento termico pared,110,29,0.49,1.00,6050000,Informational,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.41,0.41,0.52,1.00,0.82,1.00,0.52,0.82,0.64,0.41,0.52,0.52"
aislamiento termico paredes sin obra,110,11,0.49,1.00,1320000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.66,0.42,0.66,1.00,0.80,1.00,0.52,0.42,0.42,0.42,0.33,0.66"
aislamiento termico reflexivo,110,15,0.27,1.00,16200,Transactional,"Reviews, Image, People also ask, Image pack, Video carousel","0.64,0.78,0.78,0.78,0.64,0.78,0.78,0.78,0.64,0.64,0.78,0.78"
aislamiento termico suelo,110,14,0.32,1.00,388000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.64,0.50,0.78,1.00,0.78,1.00,0.78,0.78,0.64,0.50,0.50,0.64"
aislamiento termico suelos contacto terreno,110,10,0.75,0.99,737000,Informational,"Video, Image, People also ask, Image pack","0.42,0.52,0.66,0.52,0.80,1.00,0.66,0.80,0.52,0.52,0.33,0.33"
aislamiento térmico en casas ya construidas,110,14,0.45,0.89,117000,Informational,"Featured snippet, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel","0.04,0.01,0.01,0.54,0.01,1.00,0.01,0.05,0.05,0.04,0.04,0.09"
aislamiento térmico reflexivo multicapa,110,11,0.29,1.00,81,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack, Video carousel","0.03,0.01,0.01,0.15,0.02,0.15,0.01,0.01,0.02,0.01,0.01,0.00"
aislamientos térmicos valladolid,110,8,0.00,0.00,38400,Commercial,"Local pack, Reviews","0.66,0.04,1.00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02"
empresa aislamiento termico,110,33,1.06,0.49,290000,Commercial,"Local pack, Reviews, People also ask, Image pack","0.23,0.42,0.42,1.00,0.52,1.00,0.52,0.52,0.33,0.42,0.33,0.42"
placas aislamiento termico,110,18,0.35,1.00,209000,Informational,"Site links, Image, People also ask, Image pack, Video carousel","0.42,0.52,0.52,1.00,0.52,0.66,0.52,0.52,0.52,0.52,0.52,0.66"
plancha aislamiento termico,110,22,0.35,1.00,859000,Informational,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.42,0.66,0.66,1.00,0.66,0.80,0.52,0.66,0.66,0.00,0.00,0.00"
planchas aislamiento termico,110,19,0.35,1.00,2680000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.42,0.66,0.66,1.00,0.66,0.80,0.52,0.66,0.52,0.09,0.04,0.14"
planchas aislamiento térmico,110,21,0.35,1.00,556000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.42,0.66,0.66,1.00,0.66,0.80,0.52,0.66,0.66,0.00,0.00,0.00"
