Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
ventanas climalit,2400,30,0.26,1.00,2700000,Commercial,"Local pack, Reviews, Site links, Video, Image, People also ask, Image pack","0.65,0.82,0.82,1.00,0.82,1.00,0.82,0.82,0.65,0.65,0.55,0.44"
climalit,1900,18,0.30,0.34,3240000,Navigational,"Reviews, Site links, Video, Image, People also ask, Image pack","0.66,0.79,0.79,1.00,0.79,1.00,1.00,1.00,0.79,1.00,0.79,0.79"
precio ventanas climalit,1600,25,0.34,1.00,95,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.54,0.66,0.66,0.79,0.66,1.00,0.66,0.66,0.79,0.54,0.41,0.41"
climalit ventanas,720,25,0.26,1.00,2280000,Navigational,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.72,0.88,0.88,1.00,0.88,1.00,0.88,0.88,0.72,0.39,0.48,0.48"
cristal climalit,590,25,0.23,0.73,631000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81"
precio ventana climalit con instalación,590,20,0.45,0.98,282000,Transactional,"Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.67,0.67,0.81,0.81,0.67,1.00,0.81,0.54,0.44,0.44,0.36,0.44"
guardian select o climalit,480,10,0.20,0.14,58,Informational,"Site links, Video, Image, People also ask, Image pack","0.07,0.03,0.03,0.03,0.03,0.03,1.00,0.03,0.02,0.02,0.02,0.03"
precio ventanas climalit con persiana,480,24,0.37,1.00,69,Commercial,"Featured snippet, Reviews, Site links, Image, People also ask","0.36,0.81,0.81,1.00,0.67,0.67,0.54,0.44,0.36,0.44,0.23,0.29"
ventana climalit,480,25,0.00,0.00,939000,"Informational, Transactional","Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.66,0.81,0.81,0.66,0.66,0.81,0.44,0.66,0.54,0.54,0.44,1.00"
ventanas climalit precio,480,29,0.34,1.00,87,Transactional,"Featured snippet, Reviews, Site links, FAQ, Video, Image, People also ask, Image pack","0.54,0.66,0.66,0.81,0.66,1.00,0.66,0.66,0.66,1.00,0.36,0.44"
climalit ventana,390,25,0.26,1.00,1930000,Informational,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.68,0.52,0.03"
precio ventana climalit con instalacion,390,20,0.45,0.98,96,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.66,0.66,0.81,0.81,0.66,1.00,0.81,0.54,0.66,0.44,0.44,0.44"
