Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
consumo responsable,1600,48,0.34,0.08,111000000,Informational,"Top stories, People also ask, Video carousel, Knowledge panel","0.16,0.44,0.65,1.00,0.65,0.65,0.65,1.00,0.55,0.65,0.55,0.13"
que es el consumo responsable,480,46,0.21,0.08,104000000,Informational,"Site links, Video, People also ask, Knowledge panel","0.06,0.81,1.00,0.81,0.44,0.66,0.66,0.81,0.54,0.66,0.54,0.00"
consum responsable,390,45,0.26,0.03,1830000,"Informational, Transactional","Video, People also ask, Video carousel, Knowledge panel","0.06,0.44,0.66,0.81,0.54,0.66,0.54,0.66,0.54,0.54,0.54,0.09"
consumo y produccion responsable,390,29,0.52,0.05,5410000,Informational,"People also ask, Video carousel","0.05,0.23,0.66,0.66,0.54,0.44,0.66,0.66,0.44,1.00,0.54,0.15"
que es el consum responsable,390,37,0.21,0.08,74500000,Informational,"Site links, Video, People also ask, Knowledge panel","0.06,0.81,1.00,0.81,0.44,0.66,0.66,0.81,0.54,0.66,0.44,0.05"
produccion y consumo responsable,260,34,0.52,0.05,8750000,Informational,"Site links, People also ask, Image pack, Video carousel","0.03,0.18,0.54,0.54,0.44,0.35,0.54,0.54,0.35,1.00,0.44,0.06"
consumismo responsable,170,49,0.34,0.08,1120000,Informational,"People also ask, Video carousel, Knowledge panel","0.15,0.42,0.65,1.00,0.65,0.65,0.65,1.00,0.65,0.80,0.53,0.07"
consumo responsable del agua,170,25,0.00,0.01,41700000,Informational,"Featured snippet, Video, People also ask, Video carousel","0.00,0.28,0.35,1.00,0.81,0.28,0.35,0.23,0.03,0.18,0.03,0.03"
consumo responsable ejemplos,140,37,0.42,0.06,30900000,Informational,"Featured snippet, Image, People also ask, Video carousel","0.14,0.66,0.80,1.00,0.80,0.66,1.00,1.00,0.52,0.66,0.66,0.19"
consumo responsable para niños,140,28,0.00,0.00,27300000,Informational,"Featured snippet, Image, People also ask, Image pack, Video carousel","1.00,0.42,0.42,0.42,0.15"
consumo responsables,140,45,0.34,0.08,39400000,Informational,"People also ask, Video carousel, Knowledge panel","0.19,0.52,0.80,1.00,0.80,0.80,0.80,1.00,0.66,0.80,0.66,0.09"
produccion y consumo responsables,140,28,0.52,0.05,2700000,Informational,"Site links, People also ask, Image pack, Video carousel","0.05,0.41,1.00,1.00,0.82,0.64,1.00,1.00,0.52,1.00,1.00,0.17"
producción y consumo responsable,140,28,0.52,0.05,33000000,Informational,"Site links, People also ask, Image pack, Video carousel","0.02,0.10,0.29,0.29,0.22,0.22,0.29,0.29,0.22,0.35,1.00,0.00"
ejemplos de consumo responsable,110,38,0.00,0.02,28100000,Informational,"Featured snippet, Site links, Video, People also ask","0.82,0.17,0.17,0.35,0.17,0.17,1.00,0.17,0.07,0.10,0.05,0.05"
consumo responsable definicion,90,38,0.35,0.03,21300000,Informational,"Site links, Video, People also ask, Knowledge panel","0.05,0.41,0.64,1.00,0.64,0.64,0.64,0.82,0.41,0.64,0.29,0.11"
el consumo responsable,90,46,0.34,0.09,93300000,Informational,"People also ask, Video carousel, Knowledge panel","0.07,0.23,0.66,1.00,0.07,0.07,0.07,0.23,0.10,0.28,0.05,0.05"
ods 12 produccion y consumo responsable,90,32,0.60,0.04,499000,Informational,"Site links, People also ask, Image pack, Video carousel","0.18,0.36,1.00,1.00,1.00,0.81,1.00,1.00,1.00,1.00,1.00,0.45"
que es consumo responsable,90,43,0.21,0.08,106000000,Informational,"Site links, Video, People also ask, Knowledge panel","0.05,0.82,1.00,0.82,0.41,0.64,0.64,0.82,0.52,0.41,0.41,0.00"
que es un consumo responsable,90,45,0.21,0.08,125000000,Informational,"Video, People also ask, Knowledge panel","0.05,0.82,1.00,0.82,0.41,0.64,0.64,0.82,0.52,0.52,0.52,0.00"
consumo responsable en navidad,70,18,0.00,0.00,4500000,Informational,"Featured snippet, People also ask, Image pack, Video carousel","0.00,0.03,0.03,0.11,1.00,0.03,0.06,0.03,0.03,0.03,0.03,0.03"
consumo responsable que es,70,39,0.21,0.08,84400000,Informational,"Site links, Video, People also ask, Knowledge panel","0.11,1.00,1.00,1.00,0.55,0.77,0.77,1.00,0.77,0.77,0.55,0.00"
koralium supermercado ecológico alimentación sana y consumo responsable zaragoza,70,16,0.00,0.00,48,Navigational,"Reviews, Site links, Image pack, Knowledge panel","0.22,0.22,0.22,0.22,0.22,1.00,0.22,0.22,0.00,0.00,0.22,0.22"
como tener un consumo responsable,50,23,0.00,0.21,50600000,Informational,"Featured snippet, Site links, People also ask, Image pack, Video carousel","0.64,0.14,1.00,0.64,0.14,0.14,0.78,0.14,0.14,0.14,0.14,0.14"
consumir de forma responsable,50,40,0.00,0.00,10800000,Informational,"Video, People also ask, Knowledge panel","1.00,0.41,0.11,0.41,0.11,0.23,0.52,0.11,0.11,0.11,0.11,0.11"
consumo responsable de energia,50,35,0.33,0.10,4790000,Informational,"Featured snippet, Video carousel","0.19,0.09,0.33,0.09,0.42,0.09,0.09,0.09,0.09,0.52,0.66,0.09"
consumo responsable en ingles,50,14,0.00,0.00,2770000,Informational,Video,"0.11,0.11,0.23,0.64,0.23,0.41,0.11,0.11,0.11,0.11,0.11,0.11"
consumo responsable madrid,50,28,0.00,0.00,24200000,"Informational, Transactional",Video,"1.00,0.14,0.28,0.64,0.14,1.00,0.50,0.14,0.00,0.00,0.00,0.14"
dia mundial consumo responsable,50,,0.00,0.00,,,,"1.00,0.14,0.64,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
efficient consumer response,50,23,0.00,0.00,206000000,Informational,"Site links, People also ask, Video carousel, Knowledge panel","0.06,1.00,0.34,0.06,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06"
habitos de consumo responsable,50,26,1.72,0.06,253000,Informational,"Featured snippet, Site links, People also ask, Video carousel","0.14,0.78,0.50,0.64,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14"
ods consumo responsable,50,31,0.00,0.03,1210000,"Informational, Transactional","Site links, Video, People also ask, Video carousel, Knowledge panel","0.10,0.05,0.05,1.00,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05"
opcions de consum responsable,50,16,0.00,0.00,100,Informational,"Reviews, Site links, Video, Image pack","0.11,0.41,0.11,1.00,0.11,0.82,0.11,0.11,0.11,0.11,0.11,0.11"
taller de consumo responsable,50,15,0.00,0.02,11500000,Informational,"Site links, Video, Image pack, Video carousel","0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.11,0.11,0.11,0.11,0.11"
acciones para un consumo responsable,40,20,0.00,0.07,29200000,Informational,"Site links, People also ask, Image pack, Video carousel","0.00,0.41,1.00,0.11,0.52,0.11,0.23,0.11,0.11,0.11,0.11,0.11"
actividades consumo responsable primaria,40,,0.00,0.07,,,,"0.14,1.00,0.14,0.14,0.50,0.28,0.14,0.14,0.14,0.14,0.14,0.14"
actividades para el consumo responsable,40,20,0.00,0.00,34300000,Informational,"Site links, Video, People also ask, Image pack","0.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
actividades para trabajar el consumo responsable,40,14,0.00,0.00,33300000,Informational,"Site links, Video, People also ask, Image pack","0.77,0.22,0.22,1.00,1.00,0.22,0.77,0.22,0.22,0.22,0.22,0.22"
beneficios del consumo responsable,40,33,0.00,0.05,34400000,Informational,"Featured snippet, Reviews, Site links, Video, Image pack","0.45,0.09,0.45,0.27,1.00,0.36,0.09,0.36,0.18,0.27,0.27,0.18"
consumir responsablemente,40,,0.00,0.19,,,,"0.11,0.11,0.11,0.11,0.00,0.41,1.00,0.11,0.11,0.11,0.11,0.11"
consumo consciente y responsable,40,,0.00,0.00,,,,"0.82,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11"
consumo responsable de la energia electrica,40,23,0.29,0.14,15800000,Informational,"Site links, People also ask, Image pack, Video carousel","0.00,0.00,0.11,0.11,0.82,0.11,0.11,0.11,0.00,0.11,0.11,0.00"
consumo responsable de productos,40,,0.00,0.00,,,,"0.28,0.14,0.50,1.00,0.64,0.50,0.14,0.14,0.14,0.14,0.14,0.14"
consumo responsable de ropa,40,,0.00,0.00,,,,"0.00,0.11,0.82,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11"
consumo responsable en casa,40,,0.00,0.00,,,,"0.00,0.50,0.78,1.00,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
consumo responsable frases,40,,0.00,0.00,,,,"0.11,0.52,0.11,0.11,1.00,0.23,0.11,0.11,0.11,0.11,0.11,0.11"
consumo responsable libro,40,,0.00,1.00,,,,"0.63,0.18,0.81,0.18,0.63,0.18,0.63,0.18,0.18,0.18,0.18,0.18"
consumo responsable primaria,40,,0.00,0.00,,,,"0.36,0.36,1.00,0.81,0.18,0.18,0.36,0.18,0.18,0.18,0.18,0.00"
definicion consumo responsable,40,38,0.35,0.03,7140000,Informational,"Site links, Video, People also ask, Knowledge panel","0.00,0.28,0.71,1.00,0.71,0.71,0.71,0.71,0.57,0.71,0.00,0.00"
emprendimiento sostenibilidad y consumo responsable,40,10,0.61,0.27,1150000,Informational,"People also ask, Image pack","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,1.00,0.53"
foro consumo responsable,40,,0.00,0.00,,,,"0.11,0.64,0.23,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11"
fotos del consumo responsable,40,,0.00,0.00,,,,"0.00,0.14,0.28,1.00,0.50,0.14,1.00,0.14,0.14,0.14,0.14,0.00"
frases para el consumo responsable,40,,0.00,0.00,,,,"0.00,0.00,1.00,0.14,0.64,0.28,0.64,0.14,0.14,0.14,0.14,0.00"
greenpeace consumo responsable,40,,0.00,0.00,,,,"0.00,0.64,1.00,0.14,0.14,0.64,0.14,0.14,0.14,0.14,0.14,0.00"
imagenes consumo responsable,40,,0.00,0.00,,,,"0.00,0.64,1.00,0.14,0.14,0.28,0.50,0.14,0.14,0.14,0.14,0.00"
juegos sobre consumo responsable,40,,0.00,0.03,,,,"1.00,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.18,0.18,0.18,0.18"
objetivo produccion y consumo responsable,40,,0.00,0.00,,,,"0.14,0.28,1.00,1.00,0.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
ods produccion y consumo responsable,40,28,0.59,0.08,53200,Informational,"Site links, People also ask, Image pack, Video carousel","0.00,0.00,0.00,0.78,0.07,0.07,0.14,1.00,0.14,0.78,0.14,0.14"
para que sirve el consumo responsable,40,,0.00,0.00,,,,"0.00,0.14,0.50,1.00,1.00,0.00,0.00,0.14,0.14,0.14,0.14,0.00"
porque muchas personas no tienen un consumo responsable,40,,0.00,0.00,,,,"0.00,0.14,0.78,0.14,1.00,0.64,0.14,0.14,0.14,0.14,0.14,0.14"
produccion y consumo responsable ods,40,28,0.50,0.06,50400,Informational,"Site links, People also ask, Image pack, Video carousel","0.14,0.50,0.28,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14"
qué es el consumo responsable,40,42,0.21,0.08,106000000,Informational,"Video, People also ask, Knowledge panel","0.14,1.00,1.00,1.00,0.42,0.71,0.71,1.00,0.42,0.42,0.14,0.00"
tipos de consumo responsable,40,,0.00,0.00,,,,"0.14,0.78,0.14,0.28,0.14,1.00,0.28,0.14,0.14,0.14,0.14,0.14"
ventajas del consumo responsable,40,,0.00,0.00,,,,"0.00,0.11,0.11,0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.00"
video consumo responsable,40,,0.00,0.00,,,,"0.18,0.18,1.00,0.18,0.36,0.18,1.00,0.18,0.18,0.18,0.18,0.18"
www disfruta de un consumo responsable com,40,,0.00,0.00,,,,"0.50,0.14,0.28,0.14,0.28,0.14,1.00,0.14,0.14,0.14,0.14,0.14"
acciones para tener un consumo responsable,30,,0.00,0.00,,,,"0.00,0.18,1.00,0.18,0.36,0.18,0.18,0.18,0.18,0.18,0.18,0.00"
actividad consumo responsable,30,,0.00,0.14,,,,"1.00,0.18,0.18,0.18,0.81,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
agenda 2030 produccion y consumo responsable,30,,0.00,0.00,,,,"0.00,0.81,0.36,0.00,0.81,0.18,0.18,0.18,0.18,0.18,0.00,0.18"
alcohol consumo responsable,30,,0.00,0.00,,,,"0.22,0.77,0.22,0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22"
alternativas de consumo responsable,30,,0.00,0.00,,,,"0.00,0.00,0.36,0.18,0.63,1.00,0.36,0.18,0.18,0.18,0.18,0.00"
campaña consumo responsable de alcohol,30,,0.00,0.00,,,,"0.14,0.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
campañas de consumo responsable,30,,0.00,0.00,,,,"0.63,1.00,0.36,0.18,0.18,0.00,0.18,0.18,0.18,0.18,0.18,0.18"
caracteristicas del consumo responsable,30,,0.00,0.09,,,,"0.00,0.11,1.00,0.23,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11"
cartel consumo responsable,30,,0.00,0.00,,,,"0.36,0.18,1.00,0.18,0.18,0.18,0.36,0.18,0.18,0.18,0.18,0.18"
comercio justo y consumo responsable,30,,0.00,0.00,,,,"0.05,0.10,0.05,0.05,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05"
concepto de consumo responsable,30,,0.00,0.00,,,,"0.00,0.11,0.11,0.11,0.00,1.00,0.00,0.11,0.11,0.11,0.00,0.00"
consecuencias de un consumo responsable,30,,0.00,0.00,,,,"0.00,0.64,0.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
consejos de consumo responsable,30,,0.00,0.00,,,,"0.14,0.14,0.64,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00"
consum responsable anc,30,,0.00,0.00,,,,"1.00,0.11,0.77,0.22,0.11,0.11,0.11,0.22,0.22,0.22,0.00,0.22"
consum responsable definició,30,,0.00,0.00,,,,"0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.80,0.40"
consum responsable significat,30,,0.00,0.00,,,,"0.00,0.18,0.00,0.36,0.18,0.36,1.00,0.18,0.18,0.18,0.18,0.00"
consume responsibly,30,,0.00,0.00,,,,"0.50,0.64,0.14,0.14,0.50,0.14,0.14,0.14,0.00,0.14,0.00,0.14"
consumer responsibilities,30,,0.00,0.00,,,,"0.77,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22"
consumo de agua responsable,30,,0.00,0.01,,,,"0.14,0.07,0.07,0.35,0.07,0.07,0.64,1.00,0.14,0.14,0.14,0.14"
