Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
domotica,6600,49,0.25,0.38,14300000,Commercial,"Local pack, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.54,1.00,1.00,1.00,0.81,1.00,0.81,1.00,0.81,0.81,1.00,0.66"
domotica en casa,1600,33,0.28,0.98,11300000,Informational,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.54,0.79,0.79,0.79,0.66,0.79,0.66,0.79,0.66,0.66,0.54,0.54"
domótica,1600,51,0.27,0.37,24400000,"Informational, Commercial","Featured snippet, Local pack, Reviews, Site links, FAQ, Image, Top stories, People also ask, Video carousel, Knowledge panel","0.46,0.84,1.00,1.00,0.68,0.84,0.84,0.84,0.84,0.84,0.68,0.52"
que es domotica,1000,38,0.39,0.06,2180000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.25,0.84,1.00,0.84,0.52,0.52,0.52,0.52,0.46,0.68,0.46,0.20"
que es la domotica,1000,37,0.39,0.06,2110000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Knowledge panel","0.24,0.81,1.00,0.81,0.55,0.55,0.55,0.55,0.45,0.81,0.36,0.16"
domoticas,880,37,0.25,0.38,45000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.59,1.00,1.00,1.00,0.88,1.00,0.88,1.00,0.59,0.72,0.72,0.39"
casa domotica,720,30,0.28,0.98,11600000,Informational,"Reviews, Image, People also ask, Image pack, Video carousel","0.24,0.36,0.36,0.36,0.30,0.36,0.30,0.36,0.62,0.30,1.00,0.62"
mejor sistema domótico 2021,720,16,0.36,1.00,26500,Commercial,"Reviews, Site links, Video, Image, People also ask, Image pack","0.01,0.03,0.18,1.00,0.01,0.24,0.01,0.01,0.00,0.00,0.00,0.00"
domotica significado,590,34,0.27,0.04,235000,Informational,"Reviews, Site links, Video, People also ask","0.32,0.59,0.72,1.00,0.59,0.88,0.59,0.59,0.59,0.59,0.48,0.48"
domótica solar,590,21,0.87,0.37,8540000,Navigational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.66,0.81,1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.66,0.66,0.66"
domotica solar,480,30,0.87,0.37,1500000,Navigational,"Local pack, Site links, People also ask, Video carousel","0.54,0.66,1.00,1.00,0.81,0.81,0.66,0.81,0.44,0.36,0.36,0.54"
