Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
energía xxi,9900,48,1.12,0.08,18100000,Navigational,"Local pack, Reviews, Site links, Video, People also ask, Image pack","0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.54,0.54"
energía xxi clientes,9900,42,1.06,0.08,4620000,"Informational, Transactional","Reviews, Site links, People also ask, Image pack","0.66,0.81,0.66,0.66,0.66,1.00,0.81,0.81,0.81,0.66,0.54,0.54"
chc energía,6600,37,0.45,0.07,197000,Navigational,"Reviews, Site links, FAQ, People also ask, Twitter, Knowledge panel","0.54,0.36,0.66,0.54,0.54,0.54,0.81,1.00,0.54,0.66,0.66,0.54"
endesa energía xxi,6600,46,1.20,0.09,93,Navigational,"Reviews, Site links, People also ask","0.81,0.66,0.54,0.44,0.54,1.00,1.00,0.44,0.15,0.19,0.13,0.13"
energías renovables,6600,62,0.47,0.20,31000000,Informational,"Local pack, Site links, FAQ, Top stories, People also ask, Video carousel, Knowledge panel","0.19,0.36,0.44,0.54,0.44,0.44,0.54,0.81,0.36,0.36,0.36,0.12"
fenie energía,6600,35,0.71,0.14,75400,Navigational,"Local pack, Reviews, Site links, FAQ, Video, People also ask, Image pack, Knowledge panel","0.54,0.54,0.54,0.54,0.54,0.81,0.66,0.81,0.66,1.00,0.44,0.36"
energía renovable,4400,63,0.47,0.20,17800000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, People also ask, Image pack, Video carousel","0.19,0.36,0.44,0.54,0.44,0.44,0.54,0.81,0.36,0.44,0.29,0.29"
energía solar,4400,58,1.18,0.69,78600000,Commercial,"Local pack, Reviews, Site links, FAQ, Top stories, People also ask, Video carousel, Knowledge panel","0.19,0.29,0.44,0.54,0.36,0.44,0.44,0.66,0.66,1.00,0.54,0.24"
energía xxi endesa,4400,50,1.20,0.09,145000,Navigational,"Reviews, Site links, People also ask, Image pack","0.81,0.81,0.81,0.81,0.66,1.00,0.81,0.81,0.81,0.53,0.66,0.53"
agencia andaluza de la energía,3600,31,0.89,0.03,96,Navigational,"Reviews, Site links, People also ask, Twitter, Knowledge panel","0.36,0.54,0.54,0.81,1.00,0.81,0.66,1.00,0.28,0.36,0.28,0.28"
energí,3600,93,0.65,0.02,1360000000,Commercial,"Featured snippet, Local pack, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.19,0.29,0.35,0.44,0.29,0.81,0.54,0.66,0.54,0.54,0.29,0.00"
energía,3600,84,0.79,0.04,694000000,Informational,"Featured snippet, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.35,0.53,0.66,0.66,0.53,0.81,0.66,1.00,0.81,1.00,0.81,0.35"
energía xxi teléfono,3600,41,1.61,0.30,74,Commercial,"Local pack, Reviews, FAQ, People also ask, Image pack","0.66,0.66,0.53,0.53,0.53,1.00,0.81,0.81,0.53,0.53,0.44,0.53"
edp energía,2900,46,1.16,0.41,1300000,Navigational,"Local pack, Reviews, Site links, FAQ, People also ask, Knowledge panel","0.81,0.81,0.65,0.65,0.43,0.54,0.65,0.81,0.54,0.54,0.81,1.00"
el periodico de la energía,2900,34,1.30,0.00,46,Navigational,"Reviews, Site links, Video, Image pack, Twitter","0.36,0.65,0.81,0.54,0.54,0.54,0.54,1.00,0.81,0.54,0.65,0.54"
el periódico de la energía,2900,35,1.30,0.00,47,Navigational,"Reviews, Site links, Video, People also ask, Image pack, Twitter","0.29,0.54,0.65,0.43,0.43,0.43,0.43,0.81,1.00,1.00,0.81,0.65"
energes,2900,34,0.79,0.04,75,Navigational,"Local pack, Site links, Image, Image pack","0.36,0.54,0.65,0.65,0.54,0.81,0.65,1.00,0.54,1.00,0.81,0.43"
energía eólica,2900,49,0.34,0.22,10200000,Informational,"Featured snippet, Reviews, Site links, FAQ, Image, Top stories, People also ask, Video carousel, Knowledge panel","0.19,0.23,0.35,0.54,0.35,0.35,0.44,0.66,0.44,0.54,0.35,0.29"
energía nuclear,2900,56,0.06,0.01,23300000,Informational,"Featured snippet, Site links, Image, Top stories, People also ask, Video carousel, Knowledge panel","0.18,0.18,0.44,0.53,0.35,0.81,0.53,0.66,0.44,0.66,0.81,0.35"
gana energía,2900,34,0.00,0.00,33800000,"Informational, Navigational","Reviews, Site links, FAQ, People also ask, Video carousel, Twitter, Knowledge panel","0.66,0.35,1.00,0.53,0.44,0.44,0.53,0.53,0.35,0.35,0.44,0.66"
endesa energía,2400,62,5.78,0.35,98,Navigational,"Local pack, Reviews, Site links, FAQ, People also ask, Image pack, Video carousel, Knowledge panel","0.44,0.52,0.52,0.66,0.66,0.80,0.80,1.00,0.80,0.52,0.66,0.52"
energía cinética,2400,45,0.54,0.00,7270000,Informational,"Reviews, Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.16,0.29,0.35,0.44,0.24,0.35,0.35,0.44,0.35,1.00,0.66,0.24"
energía geotérmica,2400,36,0.16,0.05,2540000,Informational,"Reviews, Site links, Image, Top stories, People also ask, Video carousel, Knowledge panel","0.07,0.24,0.43,0.54,0.36,0.43,0.54,0.66,0.43,0.66,0.28,0.10"
energía guru,2400,24,0.79,0.00,615000,Navigational,"Reviews, Site links, Video, People also ask, Image pack, Twitter","0.52,0.66,0.80,1.00,1.00,1.00,0.80,1.00,0.80,0.66,0.44,0.44"
energía xxi facturas,2400,39,0.00,0.00,732000,"Informational, Transactional","Reviews, Video, People also ask, Image pack","1.00,0.66,0.36,0.36,0.44,1.00,0.80,0.80,0.80,0.66,0.66,0.66"
factor energía,2400,35,1.00,0.16,50400000,Navigational,"Local pack, Reviews, Site links, FAQ, Video, People also ask, Twitter, Knowledge panel","0.36,0.44,0.44,0.52,0.44,0.66,0.66,1.00,1.00,0.80,0.66,0.66"
másmóvil energía,2400,38,1.28,0.34,148000,Navigational,"Local pack, Reviews, Site links, FAQ, Video, People also ask, Image pack","0.52,0.66,0.80,0.80,0.66,1.00,0.80,0.80,0.36,0.27,0.36,0.36"
próxima energía,2400,31,0.99,0.18,36100000,Navigational,"Reviews, Site links, Video, Video carousel, Twitter, Knowledge panel","0.29,0.35,0.35,0.35,0.29,0.29,0.29,0.53,0.81,0.81,0.66,1.00"
energía 21,1900,41,1.53,0.26,208000000,"Informational, Transactional","Reviews, Video, People also ask, Image pack","0.79,0.79,0.79,0.79,0.79,1.00,1.00,1.00,0.79,0.66,0.66,0.66"
energía eolica,1900,46,0.34,0.22,2140000,Informational,"Reviews, Site links, FAQ, Image, Top stories, People also ask, Video carousel, Knowledge panel","0.20,0.22,0.36,0.54,0.36,0.36,0.43,0.65,0.43,0.65,0.81,0.36"
energía fotovoltaica,1900,54,1.38,0.85,9570000,Commercial,"Reviews, Site links, FAQ, Top stories, People also ask, Video carousel, Knowledge panel","0.55,0.65,0.82,1.00,0.65,0.65,0.65,1.00,0.82,0.65,0.55,0.30"
energía potencial,1900,42,0.48,0.00,52600000,Informational,"Site links, FAQ, Image, People also ask, Video carousel, Knowledge panel","0.13,0.43,0.65,0.65,0.29,0.54,0.54,0.65,0.43,0.65,0.54,0.16"
