Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
geotermia,6600,41,0.26,0.26,3850000,"Informational, Commercial","Local pack, Reviews, Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.36,0.44,0.81,1.00,0.54,0.66,0.54,1.00,0.54,0.54,0.44,0.54"
geotermia precio,1300,20,0.34,0.97,282000,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.30,0.30,0.79,1.00,0.54,0.54,0.41,0.79,0.54,0.30,0.41,0.41"
geotermia que es,1300,24,0.10,0.31,1320000,Informational,"Reviews, Site links, People also ask, Video carousel, Knowledge panel","0.46,0.52,1.00,1.00,0.52,0.68,0.68,1.00,0.52,0.46,0.52,0.68"
geotermia precios,880,15,0.34,0.97,877000,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.30,0.36,0.81,1.00,0.55,0.62,0.45,0.81,0.55,0.30,0.30,0.45"
vaillant geotermia,880,23,0.94,0.32,86,"Informational, Transactional","Video, Image, People also ask, Image pack, Video carousel","0.01,0.01,0.24,1.00,0.13,0.03,0.01,0.01,0.00,0.00,0.00,0.00"
geotermia o aerotermia,590,20,0.30,0.54,174000,Commercial,"Reviews, People also ask, Image pack, Video carousel","0.44,0.54,0.81,1.00,0.67,0.67,0.67,1.00,0.54,0.44,0.54,0.81"
precio geotermia vivienda unifamiliar,590,13,0.46,0.33,28300,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.08,0.01,0.52,1.00,0.08,0.01,0.01,0.01,0.02,0.02,0.01,0.01"
geotermia en casa precio,480,18,0.37,0.61,647000,Transactional,"Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.07,0.02,0.44,1.00,0.13,0.04,0.24,0.02,0.01,0.01,0.01,0.01"
precio geotermia,390,14,0.34,0.97,287000,Transactional,"Reviews, Site links, Video, Image, People also ask, Image pack","0.29,0.36,0.81,1.00,0.54,0.67,0.44,0.81,0.19,0.19,0.19,0.36"
que es la geotermia,390,25,0.10,0.31,1170000,Informational,"Reviews, People also ask, Video carousel, Knowledge panel","0.54,0.54,1.00,1.00,0.54,0.66,0.66,1.00,0.81,0.66,0.66,0.81"
aerotermia o geotermia,260,13,0.30,0.54,155000,Commercial,"Reviews, People also ask, Image pack, Video carousel","0.43,0.54,0.66,1.00,0.66,0.66,0.66,1.00,0.43,0.29,0.29,0.54"
geotermia en casa,260,16,0.32,0.57,990000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.35,0.35,0.66,0.66,0.44,0.35,0.35,1.00,0.44,0.35,0.44,0.66"
aerotermia vs geotermia,210,20,0.33,0.23,10800,Commercial,"Reviews, People also ask, Image pack, Video carousel","0.65,0.65,0.81,0.81,0.65,0.65,0.65,1.00,0.65,0.43,0.53,0.81"
geotermia como funciona,210,25,0.13,0.30,90000,Informational,"Featured snippet, Reviews, Site links, People also ask, Image pack, Video carousel","0.28,0.43,0.65,1.00,0.53,0.53,0.53,1.00,0.81,0.65,0.65,0.65"
instalacion geotermia,210,12,0.44,0.47,55500,"Informational, Transactional","Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.42,0.53,1.00,1.00,0.65,0.80,0.65,1.00,1.00,0.53,0.53,1.00"
geotermia calefaccion,170,21,0.22,0.54,55200,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.53,0.65,0.80,1.00,0.80,0.80,0.65,1.00,0.53,0.34,0.42,0.34"
geotermia o aerotermia vivienda unifamiliar,170,18,0.37,0.74,13500,Commercial,"Reviews, Site links, People also ask, Image pack, Video carousel","0.00,0.00,0.54,0.09,0.19,1.00,1.00,0.09,0.06,0.04,0.02,0.02"
