Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
medio ambiente,12100,79,0.70,0.01,1320000000,Informational,"Local pack, Site links, Top stories, People also ask, Knowledge panel","0.24,0.44,0.54,0.66,0.44,0.54,0.66,0.66,0.54,1.00,0.54,0.24"
concurso de dibujo del medio ambiente,2900,11,0.00,0.00,4440000,"Informational, Commercial","Video, Image pack","0.24,0.00,0.00,0.24,0.00,0.00,1.00,0.24,0.00,0.24,0.24,0.00"
el medio ambiente,2900,68,0.70,0.01,1220000000,Informational,"Site links, Top stories, People also ask, Video carousel, Knowledge panel","0.29,0.53,0.66,0.81,0.53,0.66,0.81,0.81,0.35,0.29,0.66,0.29"
dia mundial del medio ambiente,2400,63,0.75,0.02,125000000,Informational,"Reviews, Site links, FAQ, People also ask, Image pack, Video carousel, Instant answer, Knowledge panel","0.03,0.04,0.05,0.05,0.03,0.05,0.04,0.07,0.07,0.24,0.54,0.03"
medio ambiente o medioambiente,2400,39,0.00,0.00,22500000,Informational,"Featured snippet, Video, People also ask, Image pack","0.22,0.43,0.54,0.65,0.43,0.54,0.54,0.65,0.36,1.00,0.54,0.29"
medioambiente o medio ambiente,2400,39,0.00,0.00,22200000,Informational,"Featured snippet, Reviews, Site links, Video, People also ask, Image pack","0.34,0.65,0.82,1.00,0.65,0.82,0.82,1.00,0.65,1.00,0.82,0.24"
dia del medio ambiente,1900,58,0.74,0.01,598000000,Informational,"Reviews, Site links, FAQ, Video, People also ask, Image pack, Instant answer, Knowledge panel","0.03,0.10,0.12,0.12,0.08,0.12,0.12,0.16,0.23,0.54,1.00,0.07"
dia mundial medi ambient,1900,60,0.75,0.02,182000000,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel, Instant answer, Knowledge panel","0.03,0.04,0.05,0.05,0.03,0.05,0.04,0.05,0.05,0.19,0.16,0.01"
fcc medio ambiente,1600,26,0.40,0.01,2510000,Commercial,"Local pack, Reviews, Site links, Video carousel, Twitter, Knowledge panel","0.30,0.54,0.54,0.54,0.41,0.54,0.66,0.79,0.66,1.00,1.00,1.00"
medio ambiental o medioambiental,1600,39,0.00,0.00,13900000,Informational,"Featured snippet, Site links, People also ask, Image pack","0.24,0.55,0.65,0.82,0.55,0.65,0.65,0.82,0.44,1.00,0.55,0.55"
ministerio de medio ambiente,1600,78,0.00,0.00,101000000,Navigational,"Local pack, Reviews, Site links, Image, People also ask","0.52,0.84,0.84,0.84,0.52,0.68,1.00,1.00,0.68,0.68,1.00,0.68"
que es el medio ambiente,1600,58,0.50,0.03,1240000000,Informational,"Site links, Video, People also ask, Knowledge panel","0.08,0.54,0.54,0.79,0.54,0.54,0.79,0.79,0.54,1.00,0.66,0.05"
bing quiz sobre medio ambiente,1300,26,0.00,0.00,53,Informational,People also ask,"0.00,0.03,1.00,0.00,0.00"
dibujos del medio ambiente,1300,28,0.00,0.01,81100000,Informational,"Reviews, Site links, Video, Image, People also ask, Image pack","0.07,0.20,0.34,0.55,0.30,0.34,0.44,0.55,0.44,1.00,0.55,0.08"
