Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
smart home,1600,37,0.47,0.65,6210000000,Informational,"Local pack, Reviews, Site links, Image, People also ask, Image pack, Video carousel","0.68,0.84,0.84,1.00,1.00,0.84,0.68,0.84,0.68,0.68,0.68,0.68"
conectar home cinema antiguo a smart tv,590,17,0.00,0.77,74,Informational,"Reviews, Site links, People also ask, Image pack, Video carousel","0.08,0.08,0.36,0.79,0.36,1.00,0.41,0.02,0.08,0.01,0.02,0.01"
xataka smart home,590,32,1.26,0.03,24,Navigational,"Site links, Image, Image pack","0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81"
garza smart home,390,29,0.35,1.00,68,"Navigational, Transactional","Reviews, Site links, Video, Image, Image pack, Video carousel, Knowledge panel","0.54,0.44,0.66,1.00,0.81,0.81,0.54,0.54,0.66,0.35,0.23,0.18"
smart homes,320,33,0.47,0.65,506000000,Navigational,"Local pack, Reviews, Site links, FAQ, Image pack, Video carousel","0.66,0.82,0.82,1.00,1.00,0.82,0.66,0.82,1.00,1.00,0.66,0.82"
garza smart home termostato instrucciones,260,15,0.00,0.53,26,"Informational, Transactional","Reviews, Video, Image, People also ask, Image pack, Video carousel","0.02,0.02,0.39,0.32,1.00,0.32,0.72,0.02,0.03,0.02,0.02,0.02"
ikea home smart,260,48,0.51,0.52,77500000,"Informational, Transactional","Reviews, FAQ, Image, Image pack, Video carousel","0.66,0.66,0.66,0.82,0.82,1.00,0.66,0.66,0.53,0.43,0.43,0.53"
smart home sec,210,23,0.57,0.24,235000000,Informational,"Reviews, Video, Image pack","0.44,0.02,0.81,1.00,0.05,0.19,0.02,0.02,0.01,0.04,0.05,0.04"
conectar google home a smart tv samsung,170,18,0.00,0.13,2060000,Informational,"Reviews, Site links, People also ask, Video carousel","0.01,0.01,0.03,0.01,1.00,0.16,0.03,0.01,0.02,0.01,0.01,0.01"
mi smart home hub,170,19,0.19,1.00,125000000,"Informational, Transactional","Reviews, Video, Image, People also ask, Image pack, Video carousel, Shopping ads","0.53,0.53,0.53,0.80,1.00,1.00,0.53,0.53,0.53,0.80,0.65,1.00"
smart home inmobiliaria,170,20,0.78,0.04,2000000,Navigational,"Reviews, Image pack, Knowledge panel","0.02,0.09,1.00,0.32,0.17,0.17,0.05,0.09,0.05,0.05,0.09,0.14"
bosch smart home,140,26,0.42,0.81,78600000,Navigational,"Reviews, Site links, FAQ, Video, Image, Image pack, Video carousel","0.66,0.66,1.00,1.00,0.66,0.66,0.66,0.66,0.66,0.42,0.33,0.52"
ikea smart home,140,47,0.51,0.52,79000000,"Informational, Transactional","Reviews, FAQ, Image, Image pack, Video carousel","0.66,0.66,0.66,0.80,0.80,1.00,0.52,0.52,0.52,0.42,0.42,0.52"
ksix smart home,140,23,0.20,1.00,723000,"Informational, Transactional","Reviews, Image, Video carousel","0.00,0.00,0.00,0.81,0.08,1.00,0.43,0.18,0.18,0.22,0.29,0.18"
orange smart home,140,34,0.65,0.22,1840000000,"Informational, Transactional","Reviews, Video, Image, Image pack","0.09,0.05,0.19,0.09,0.23,0.05,1.00,0.05,0.04,0.04,0.02,0.06"
smart home granollers,140,21,0.68,0.30,94,Commercial,"Local pack, Video, Image, Image pack, Adwords top","0.05,0.01,0.01,0.01,0.03,0.03,1.00,0.01,0.01,0.01,0.01,0.01"
smart life home assistant,140,16,0.84,0.18,373000000,Informational,"Reviews, Site links, Video carousel","0.42,0.52,1.00,0.66,1.00,1.00,0.66,0.52,0.66,0.52,0.52,0.42"
xiaomi smart home,140,30,0.12,1.00,307000000,Informational,"Reviews, Site links, Image, Image pack, Video carousel","0.66,0.52,0.66,1.00,1.00,1.00,0.52,0.52,0.80,0.80,0.52,0.66"
home assistant smart life,110,24,0.00,0.11,352000000,Informational,"Reviews, Site links, Image pack, Video carousel","0.14,0.04,0.66,0.08,0.66,1.00,0.04,0.04,0.14,0.04,0.04,0.06"
lidl smart home,110,43,0.25,0.98,97,"Informational, Transactional","Reviews, Site links, FAQ, Image, Image pack, Video carousel","0.23,0.23,0.23,0.28,0.28,0.28,0.18,0.15,0.15,0.15,0.11,0.15"
smart home hub,110,13,0.30,0.96,785000000,Informational,"Reviews, Image, Image pack, Video carousel","0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.42,0.42,0.52,0.52"
smart home security,110,25,0.68,0.87,1570000000,Transactional,"Reviews, Site links, Video, Image, Image pack","0.11,0.11,0.11,0.44,0.11,0.11,0.11,0.11,0.06,0.03,0.05,0.06"
xiaomi mi smart home hub,110,15,0.18,1.00,9710000,"Informational, Transactional","Reviews, Image, Image pack, Video carousel","0.34,0.42,0.34,0.53,0.65,1.00,0.53,0.42,0.34,0.42,0.26,0.42"
