Type,Title,eclrow,Content,eclrow7,Content8,Image
 grande luce , 0120865 ,Useful luminous flux, 760,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 grande luce , 0120952 ,Useful luminous flux, 820,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0648-5 ,Useful luminous flux, 555,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0085-24 ,Useful luminous flux, 2 678,Energy consumption in on-mode, 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0175-7 ,Useful luminous flux, 737,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0177-15 ,Useful luminous flux, 1 750,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-31 ,Useful luminous flux, 3 101,Energy consumption in on-mode, 31,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-68 ,Useful luminous flux, 6 863,Energy consumption in on-mode, 68,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0431-18 ,Useful luminous flux, 1 964,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-15 ,Useful luminous flux, 1 500,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-36 ,Useful luminous flux, 3 600,Energy consumption in on-mode, 36,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 2120124 ,Useful luminous flux, 8 200,Energy consumption in on-mode, 100,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7623 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7625 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 060_2 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 080_2 ,Useful luminous flux, 265,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 100_2 ,Useful luminous flux, 280,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 075_2 ,Useful luminous flux, 510,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 705_2 ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ARGUS LIGHT s.r.o. , 1009 ANITA ,Useful luminous flux, 510,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ARGUS LIGHT s.r.o. , 2050 NINA ,Useful luminous flux, 650,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NEMO , 093COM000202 ,Useful luminous flux, 233,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LINEAR , DE360N ,Useful luminous flux, 4 300,Energy consumption in on-mode, 40,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 grande luce , 0120842 ,Useful luminous flux, 760,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0175-14 ,Useful luminous flux, 1 584,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0177-5 ,Useful luminous flux, 583,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-45 ,Useful luminous flux, 4 575,Energy consumption in on-mode, 45,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-7 ,Useful luminous flux, 661,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0431-49 ,Useful luminous flux, 5 499,Energy consumption in on-mode, 49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0449-33 ,Useful luminous flux, 3 379,Energy consumption in on-mode, 33,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-22 ,Useful luminous flux, 2 200,Energy consumption in on-mode, 22,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-53 ,Useful luminous flux, 5 300,Energy consumption in on-mode, 53,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 2120125 ,Useful luminous flux, 8 200,Energy consumption in on-mode, 100,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 211687 ,Useful luminous flux, 400,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7626 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7627 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Xanlite , RFV470FOCWD ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.920257N ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.9TS035008CFN ,Useful luminous flux, 750,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 135_2 ,Useful luminous flux, 520,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 iGuzzini illuminazione S.p.A , 2.VQG3.00002 ,Useful luminous flux, 195,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Booga , Booga Art.45876 ,Useful luminous flux, 820,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0551;LED-0552-8 ,Useful luminous flux, 890,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0179-38 ,Useful luminous flux, 4 011,Energy consumption in on-mode, 38,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-18 ,Useful luminous flux, 1 719,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-37 ,Useful luminous flux, 3 533,Energy consumption in on-mode, 37,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-135 ,Useful luminous flux, 13 725,Energy consumption in on-mode, 135,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-158 ,Useful luminous flux, 16 013,Energy consumption in on-mode, 158,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-23 ,Useful luminous flux, 2 288,Energy consumption in on-mode, 23,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-231 ,Useful luminous flux, 23 485,Energy consumption in on-mode, 231,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-84 ,Useful luminous flux, 8 489,Energy consumption in on-mode, 84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-89 ,Useful luminous flux, 8 900,Energy consumption in on-mode, 89,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0672-12 ,Useful luminous flux, 1 357,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 21202 ,Useful luminous flux, 400,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7622 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HAUSHALT , LLED-701DIM-9W ,Useful luminous flux, 1 020,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.9TS035006CFN ,Useful luminous flux, 520,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 065_2 ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 350_2 ,Useful luminous flux, 810,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 145_2 ,Useful luminous flux, 830,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.9TS035020CFN ,Useful luminous flux, 2 100,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 EGB , 540 070_2 ,Useful luminous flux, 265,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 FEIT electric , S14/822/FILED-230 ,Useful luminous flux, 80,Energy consumption in on-mode, 1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-6 ,Useful luminous flux, 708,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0177-20 ,Useful luminous flux, 2 333,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-12 ,Useful luminous flux, 1 146,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-24 ,Useful luminous flux, 2 292,Energy consumption in on-mode, 24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 STANDART , 16670-480 ,Useful luminous flux, 1 270,Energy consumption in on-mode, 26,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-90 ,Useful luminous flux, 9 150,Energy consumption in on-mode, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0421-20 ,Useful luminous flux, 2 256,Energy consumption in on-mode, 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-31 ,Useful luminous flux, 3 100,Energy consumption in on-mode, 31,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-9 ,Useful luminous flux, 900,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0672-6 ,Useful luminous flux, 679,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 211685 ,Useful luminous flux, 400,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 211686 ,Useful luminous flux, 400,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0337-5 ,Useful luminous flux, 565,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0572-2 ,Useful luminous flux, 173,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7624 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7621 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Xanlite , RFV470POCWD ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KS , 7628 ,Useful luminous flux, 205,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.9TS035016CFN ,Useful luminous flux, 1 650,Energy consumption in on-mode, 16,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOMCOM , B31-364V90 ,Useful luminous flux, 978,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LINEAR , DE360Z ,Useful luminous flux, 4 300,Energy consumption in on-mode, 40,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.934220N ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 YOSION , HCP050 ,Useful luminous flux, 1 000,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 grande luce , 0120845 ,Useful luminous flux, 760,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 grande luce , 0120872 ,Useful luminous flux, 1 900,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LIFE Electronics SpA , 39.920256NM40 ,Useful luminous flux, 470,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
" Dongguan Oushi Electronic Technology Co., Ltd ", N13 ,Useful luminous flux, 680,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Dutetoy , B09STV46SM ZD1201031 BD03 ,Useful luminous flux, 1 000,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0177-25 ,Useful luminous flux, 2 917,Energy consumption in on-mode, 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-2 ,Useful luminous flux, 191,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0201-21 ,Useful luminous flux, 2 005,Energy consumption in on-mode, 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-270 ,Useful luminous flux, 27 399,Energy consumption in on-mode, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-39 ,Useful luminous flux, 3 914,Energy consumption in on-mode, 39,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-61 ,Useful luminous flux, 6 202,Energy consumption in on-mode, 61,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0371-76 ,Useful luminous flux, 7 676,Energy consumption in on-mode, 76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0431-11 ,Useful luminous flux, 1 178,Energy consumption in on-mode, 11,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-14 ,Useful luminous flux, 1 420,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 LEDS C4 , LED-0633-67 ,Useful luminous flux, 6 700,Energy consumption in on-mode, 67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 V-TAC , 21201 ,Useful luminous flux, 400,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Tecna srl , 04824FB4Q1K0 ,Useful luminous flux, 720,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NVC International , TLED317N 50W 4000K ,Useful luminous flux, 4 800,Energy consumption in on-mode, 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Unison , 4444970 ,Useful luminous flux, 420,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Kanlux , DE97811A - ATERO LED B ,Useful luminous flux, 240,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Kanlux , DE97811A - ATERO LED W ,Useful luminous flux, 240,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Nova Luce , 9492770 ,Useful luminous flux, 669,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
