Type,Title,eclrow,eclrow1,eclrow4,eclrow5,Image
 ES SYSTEM K , LCC CARINA 03 1.4 SQR R290 (ODP)  ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 814,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , LCC CARINA 03 1.4 SQR 01011100 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 128,35",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 True , TUC-48G-HC~SPEC3 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 682,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 True , T-49G-HC~FGD01 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 450,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 True , GDM-41-LD ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 488,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 ProfiChef 40-780 Katowice Owsiana 58A , PC15247 ,Type of refrigerating appliance, Beverage coolers,Annual energy consumption," 1 610,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
" EXKAL, S.A. ", HFEC1-5_00_3M1_2.52_3602.92 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 602,92",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
" EXKAL, S.A. ", HFSR1-6_00_3M1_3.38_4349.34 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 349,34",https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 KAPLANLAR , AMATIS PL 625 T 256809218 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 332,55",https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Stora Enso , IF 2.1 EU ,Type of refrigerating appliance, Refrigerated vending machines,Annual energy consumption," 1 497,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
