Brand,Model,Imagen,Consumo_energético_por_ciclo_Modo_convencional__kWh_ciclo,Consumo_energético_por_ciclo_Modocirculacion_forzada__kWh_ciclo,Consumo_energético_por_ciclo_Modo_convencional_GAS__MJ_ciclo,Consumo_energético_por_ciclo_Modo_circulación_forzada_GAS__MJ_ciclo
 Candy , FIDC N686 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,8", -, -
 Samsung , NV7B41201DK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5755SDS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B41307DS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6795JDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B7997AAA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5655SDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B4550VDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B4550VDS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6799JAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5775QDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6675CDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B44502DK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B41307DK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Exquisit , EBE76-9-H-020 weiss ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,91"," 0,81", -, -
 Exquisit , EBE76-9-H-020 schwarz ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,91"," 0,81", -, -
 Exquisit , EBE76-9-H-020 inox ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,91"," 0,81", -, -
 Hoover , HOC5S747INSWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 IGNIS , AKB 40102 IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Candy , FIDC N655 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Siemens , HR379GCS0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Siemens , HR579G5S0S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Bosch , HBA374BB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Samsung , NQ5B7993AAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,61", -, -
 SMEG , SOP6902S2PX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 Samsung , NQ5B7993AAA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,61", -, -
 Hoover , HOC5B3448INWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 IGNIS , NFWS 840 H IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,89"," 0,69", -, -
 Hoover , HOC5M7478INWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Rosieres , RFC30P5879PIN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,1"," 0,8", -, -
 Rosieres , RFC3OP5579IN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,85", -, -
 WHIRLPOOL , AKZ9 648 IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,9"," 0,69", -, -
 SMEG , SO6104S4PG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 1,09"," 0,51"," 3,92"," 1,84"
 SMEG , SO6102S3PG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 0,96"," 0,51"," 3,46"," 1,84"
 SMEG , SO4604S4PNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 0,8"," 0,44"," 2,88"," 1,58"
 SMEG , SO6101TN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,15"," 0,68"," 4,14"," 2,45"
 SMEG , SOP6401TS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SOP6401TN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SFPR9606TPNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,74"," 1,29"," 2,66"," 4,64"
 SMEG , SOP6606S2PNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
