Type,Title,eclrow,Content,eclrow3,Content4,Image
 Paradigma , 05-5834 ,Rated heat output, 32,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Paradigma , 05-5832 ,Rated heat output, 25,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Paradigma , 05-5831 ,Rated heat output, 22,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Paradigma , 05-5833 ,Rated heat output, 28,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Edilkamin , EXPERTA 27 ,Rated heat output, 24,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Edilkamin , EXPERTA 35 ,Rated heat output, 31,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Zębiec , DIAMENT 10 ,Rated heat output, 10,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Windhager , BioWIN 382 ,Rated heat output, 38,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Windhager , BioWIN 632 ,Rated heat output, 63,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Windhager , BioWIN 452 ,Rated heat output, 45,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Windhager , BioWIN 502 ,Rated heat output, 50,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Zębiec , ONYKS 15 ,Rated heat output, 15,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Famar Brevetti srl , Geysir Kompact 30 ,Rated heat output, 31,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Famar Brevetti srl , Geysir Kompact 25 ,Rated heat output, 25,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Famar Brevetti srl , Geysir Kompact 20 ,Rated heat output, 20,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , Novatronic XV 80/50 ,Rated heat output, 50,Energy efficiency index (EEI), 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , UTSD 80/45 Pellet ,Rated heat output, 45,Energy efficiency index (EEI), 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , UTSD 80/45 Hackgut ,Rated heat output, 45,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 ETA Heiztechnik , ePE-BW-20 ,Rated heat output, 20,Energy efficiency index (EEI), 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 ETA Heiztechnik , ePE-BW-14 ,Rated heat output, 14,Energy efficiency index (EEI), 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 ETA Heiztechnik , ePE-BW-8 ,Rated heat output, 8,Energy efficiency index (EEI), 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 ETA Heiztechnik , ePE-BW-12 ,Rated heat output, 12,Energy efficiency index (EEI), 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 ETA Heiztechnik , ePE-BW-16 ,Rated heat output, 16,Energy efficiency index (EEI), 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 ETA Heiztechnik , ePE-BW-18 ,Rated heat output, 18,Energy efficiency index (EEI), 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 ETA Heiztechnik , ePE-BW-10 ,Rated heat output, 12,Energy efficiency index (EEI), 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Edilkamin , Gora2 slim Up ,Rated heat output, 20,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 La Nordica , LNK 40 EVO ,Rated heat output, 37,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 La Nordica , LNK 20 EVO ,Rated heat output, 21,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 La Nordica , LNK 15 EVO ,Rated heat output, 17,Energy efficiency index (EEI), 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , UTSD 45/45 Hackgut ,Rated heat output, 45,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , UTSD 45/45 Pellet ,Rated heat output, 46,Energy efficiency index (EEI), 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAJAK , AOT-12 ,Rated heat output, 12,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 Windhager , PuroWIN Pellets 60 ,Rated heat output, 60,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAJAK , AOT-16 ,Rated heat output, 16,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 STAUBER , KT-16 ,Rated heat output, 16,Energy efficiency index (EEI), 79,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KOZLUSAN ISITMA SISTEMLERI , LIDYA COMPACT 15 ,Rated heat output, 16,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KOZLUSAN ISITMA SISTEMLERI , LIDYA COMPACT 25 ,Rated heat output, 26,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 ATRAMA , KT-16 ,Rated heat output, 16,Energy efficiency index (EEI), 79,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 ATRAMA , KT-20 ,Rated heat output, 20,Energy efficiency index (EEI), 79,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 STAUBER , KT-20 ,Rated heat output, 20,Energy efficiency index (EEI), 79,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAJAK , AOT-20 ,Rated heat output, 20,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 Zębiec , ONYKS 20  ,Rated heat output, 20,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , Novatronic XV 55/45 ,Rated heat output, 45,Energy efficiency index (EEI), 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAJAK , AOT-14 ,Rated heat output, 14,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON 20 ver. 2021 ,Rated heat output, 20,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 30HQ ACS S1 ,Rated heat output, 27,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , PERFORMA 20HQ EASY CLEAN H1 ,Rated heat output, 20,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , PERFORMA 25HQ EASY CLEAN H1 ,Rated heat output, 24,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S26 GT5 ,Rated heat output, 24,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S32 EVO5 ,Rated heat output, 29,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S32 GT5 ,Rated heat output, 29,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S23 GT5 ,Rated heat output, 21,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 15HQ S1 ,Rated heat output, 15,Energy efficiency index (EEI), 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 25HQ ACS S1 ,Rated heat output, 24,Energy efficiency index (EEI), 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , PERFORMA 35HQ EASY CLEAN H1 ,Rated heat output, 32,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S19 GT5 ,Rated heat output, 17,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 25HQ S1 ,Rated heat output, 24,Energy efficiency index (EEI), 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 30HQ S1 ,Rated heat output, 27,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 THERMOROSSI S.P.A. , COMPACT S26 EVO5 ,Rated heat output, 24,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 20HQ S1 ,Rated heat output, 18,Energy efficiency index (EEI), 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , PERFORMA 15HQ EASY CLEAN H1 ,Rated heat output, 14,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , PERFORMA 30HQ EASY CLEAN H1 ,Rated heat output, 29,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 35 HQ S1 ,Rated heat output, 32,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MCZ , SELECTA 35HQ ACS S1 ,Rated heat output, 32,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 STILMETAL , SM ECO 25 COMPACT ,Rated heat output, 25,Energy efficiency index (EEI), 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 MAYAK , AOT14 ,Rated heat output, 14,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAYAK , AOT12 ,Rated heat output, 12,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAYAK , AOT16 ,Rated heat output, 16,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 MAYAK , AOT20 ,Rated heat output, 20,Energy efficiency index (EEI), 72,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Schmid AG energy solutions , Novatronic XV 55/49 ,Rated heat output, 49,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 Zębiec , AGAT 17 ,Rated heat output, 17,Energy efficiency index (EEI), 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
  STROJ - ENERGIJSKA TEHNIKA D.O.O. , STROJ LAMBDA UP 2O ,Rated heat output, 20,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
