Type,Title,eclrow2,Content,eclualignitemslgend,eclualignitemslgend5,Image
 Samsung , DV90BB9545GM ,Weighted Annual Energy Consumption, 176,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APPP-Left-DarkGreen.png
 Bosch , WTH85VSXPL ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45HVU5AT ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85200FG ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VU5AT ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WQG245040 ,Weighted Annual Energy Consumption, 258,Programme time of the ‘standard cotton programme at full load’ (T dry), 2:56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85209FG ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83202FG ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45H209FG ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45H203FG ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT43H200FG ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH85VX3 ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83204FG ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH83205FG ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT45H202FG ,Weighted Annual Energy Consumption, 236,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Siemens , WT43H206FG ,Weighted Annual Energy Consumption, 212,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:08,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png
 Bosch , WTH830L5SN ,Weighted Annual Energy Consumption, 243,Programme time of the ‘standard cotton programme at full load’ (T dry), 3:24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
