Type,Title,eclrow5,Content6,Image
 Bosch , WIW28302GB ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 62,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Bosch , WAX32M02BY ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Samsung , WW11BB945AGM ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 48,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 BRANDT , WFB814WP -01 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 73,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Siemens , WG44G2A2FG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WUU28T70 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 54,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Siemens , WU14UT70 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 54,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 LG Electronics , F2V308WSWH ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 48,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , FA94V5UVW1E ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , FA49V5VW1W ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F4WV3510S0W ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 61,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 WHIRLPOOL , FFB 946 BSV IT ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Siemens , WM14UR95NL ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WGG244ARFR ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WGG244ASFR ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Siemens , WM14UR72NL ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Siemens , WG44G00AFG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WGG0440AFG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WGG04409FG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WGG0440MFG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WGG04404FG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Siemens , WG44G00MFG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Siemens , WG44G004FG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Siemens , WG44G009FG ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 46,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Bosch , WAX02KB1SN ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 SMEG , LBW62ICS ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HISENSE , WFQP8014EVMT ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 47,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Candy , CSO 1285TW4-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 MORRIS , WTL-80134 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 54,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CSO 1485TW4-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Gorenje , WNHVB72SDPS/AT ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 68,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 LG Electronics , F4WT209S6A ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F94D15WHS ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , FA49T2VS6W ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F4WM309S0 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F4WM309SAE ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F4WN3098M ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 50,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 INDESIT , BTW S60400 FR/N ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HISENSE , WFQA9014EVJMW/PL ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 LG Electronics , F2WV3183 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 48,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 HISENSE , WFQA8014EVJMW/PL ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 47,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Candy , CS1282DW4-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 OCEAN , WFO 12104 WT Q FP 5 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 68,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 INDESIT , BWSA 7125X WV IT (2) ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 52,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 HOTPOINT/ARISTON , RSSG 725 D IT ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 52,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CSO14105TE/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Siemens , WM16XK02EU ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Siemens , WM6HXG91CH ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Siemens , WM6HXE91CH ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 Samsung , WW11BB944DGM ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 53,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Hoover , H3W 492DA4/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 57,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CSO 1485TW4/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
